[0.e+00 0.e+00 1.e+00 1.e+27]
[1.000e+00 1.000e+27 3.671e+03 1.000e+27]
[1.00000000e+00 1.45601684e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.45296684e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.45013181e+22 0.00000000e+00 0.00000000e+00]
[1.00e+00 1.45e+22 0.00e+00 0.00e+00]
[1.00000000e+00 1.44941869e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.44482755e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.44249451e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.44188877e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.43818701e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.43763154e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.43619682e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.43574559e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.45773091e+22 0.00000000e+00 0.00000000e+00]
[1.0000000e+00 1.4322906e+22 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.43009905e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.42938723e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.42843884e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.42795283e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.42304479e+22 0.00000000e+00 0.00000000e+00]
[1.0000000e+00 1.4172887e+22 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.41556977e+22 0.00000000e+00 0.00000000e+00]
[2.00000000e+00 1.78857758e+22 2.00000000e+00 1.78857758e+22]
[1.00000000e+00 1.41264599e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.41142664e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.41005211e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.40860258e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.43224287e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.45913285e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.46059743e+22 0.00000000e+00 0.00000000e+00]
[1.0000000e+00 1.4654028e+22 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.52507811e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.52340724e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.52227749e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.51619183e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.50668103e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.50656713e+22 0.00000000e+00 0.00000000e+00]
[4.00000000e+00 2.00200926e+23 1.00000000e+00 1.20201792e+23]
[1.00000000e+00 1.50107659e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.50078461e+22 0.00000000e+00 0.00000000e+00]
[2.00000000e+00 2.18949142e+22 0.00000000e+00 0.00000000e+00]
[1.0e+00 1.5e+22 0.0e+00 0.0e+00]
[1.0e+00 1.5e+22 0.0e+00 0.0e+00]
[1.0e+00 1.5e+22 0.0e+00 0.0e+00]
[1.0e+00 1.5e+22 0.0e+00 0.0e+00]
[1.0e+00 1.5e+22 0.0e+00 0.0e+00]
[1.00000000e+00 1.49624516e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.49497748e+22 0.00000000e+00 0.00000000e+00]
[1.000000e+00 1.492284e+22 0.000000e+00 0.000000e+00]
[1.000000e+00 1.492284e+22 0.000000e+00 0.000000e+00]
[1.0000000e+00 1.4801312e+22 0.0000000e+00 0.0000000e+00]
[1.00e+00 1.48e+22 1.00e+00 1.48e+22]
[1.00000000e+00 1.47758449e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.47366571e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.47059391e+22 0.00000000e+00 0.00000000e+00]
[1.0000000e+00 1.4680197e+22 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.46759831e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.46730149e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.40807534e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.40731934e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.40578843e+22 0.00000000e+00 0.00000000e+00]
[1.0e+00 1.4e+22 0.0e+00 0.0e+00]
[1.00000000e+00 1.32465249e+22 0.00000000e+00 0.00000000e+00]
[3.00000000e+00 4.92891709e+23 2.00000000e+00 4.92891709e+23]
[3.58000000e+02 6.92129728e+25 5.79000000e+02 4.41142872e+25]
[3.00000000e+00 9.50008895e+22 3.00000000e+00 4.50000000e+22]
[3.00000000e+00 1.33554396e+24 5.00000000e+00 9.47348279e+23]
[2.00000000e+00 4.06305712e+23 1.00000000e+00 3.00000000e+23]
[1.00000000e+00 2.98318751e+23 1.00000000e+00 2.98318751e+23]
[2.00000000e+00 4.86265384e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.32745523e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.32733204e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.32574242e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.32565424e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.32482644e+22 0.00000000e+00 0.00000000e+00]
[2.00000000e+00 3.51717439e+23 1.00000000e+00 5.00000000e+22]
[1.00000000e+00 2.31327502e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.30452101e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.30134648e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.30117015e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.29406284e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.29302596e+22 0.00000000e+00 0.00000000e+00]
[4.00000000e+00 5.47230932e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.28752518e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.28584597e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.28374548e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.28043761e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.28016005e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.28012752e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 2.27963593e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.32502502e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.52973516e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.32570149e+22 0.00000000e+00 0.00000000e+00]
[3.00000000e+00 1.25043109e+23 2.00000000e+00 1.25043109e+23]
[1.0e+00 1.4e+22 0.0e+00 0.0e+00]
[3.00000000e+00 1.56093430e+23 1.00000000e+00 1.52620015e+23]
[1.0000000e+00 1.3985982e+22 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.39570745e+22 1.00000000e+00 1.39570745e+22]
[1.00000000e+00 1.39397045e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.39000024e+22 0.00000000e+00 0.00000000e+00]
[2.0000000e+00 9.1293772e+22 1.0000000e+00 9.1293772e+22]
[1.00000000e+00 1.37923507e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.37730615e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.37473477e+22 0.00000000e+00 0.00000000e+00]
[1.0000000e+00 1.3692556e+22 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.36864082e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.36400035e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.36309285e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.35897475e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.35668832e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.35668378e+22 1.00000000e+00 1.35668378e+22]
[1.00000000e+00 1.35565137e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.35369231e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.35077591e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.34719815e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.34658157e+22 0.00000000e+00 0.00000000e+00]
[3.00000000e+00 8.68207997e+22 0.00000000e+00 0.00000000e+00]
[2.00000000e+00 3.07189916e+23 1.00000000e+00 2.80000000e+23]
[1.00000000e+00 1.34247716e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.33806657e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.33613971e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.32881927e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.53006217e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.53167396e+22 0.00000000e+00 0.00000000e+00]
[1.0000000e+00 1.5333005e+22 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.75494087e+22 1.00000000e+00 1.75494087e+22]
[1.00000000e+00 1.75409941e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.75026523e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.74917327e+22 0.00000000e+00 0.00000000e+00]
[2.00000000e+00 2.80268239e+23 1.00000000e+00 2.80268239e+23]
[1.00000000e+00 1.74409097e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.74180724e+22 0.00000000e+00 0.00000000e+00]
[1.0000000e+00 1.7414663e+22 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.74100636e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.73820614e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.73797815e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.72340356e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.71960735e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.71767522e+22 0.00000000e+00 0.00000000e+00]
[2.0000000e+00 2.9059728e+24 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.70888416e+22 0.00000000e+00 0.00000000e+00]
[1.0000000e+00 1.7055761e+22 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.70526421e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.70387831e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.70310632e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.70069782e+22 0.00000000e+00 0.00000000e+00]
[1.0e+00 1.7e+22 0.0e+00 0.0e+00]
[1.00000000e+00 1.69944151e+22 0.00000000e+00 0.00000000e+00]
[1.0000000e+00 1.6976906e+22 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.69661094e+22 0.00000000e+00 0.00000000e+00]
[2.00000000e+00 3.39394058e+23 1.00000000e+00 3.39394058e+23]
[1.00000000e+00 1.69397522e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.75536954e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.68137297e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.76055521e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.76679048e+22 0.00000000e+00 0.00000000e+00]
[2.00000000e+00 1.80713972e+23 1.00000000e+00 9.62102188e+22]
[1.00000000e+00 2.13220528e+23 1.00000000e+00 2.13220528e+23]
[1.2100000e+02 9.1397081e+24 1.2100000e+02 9.1397081e+24]
[2.00000000e+00 4.41544313e+23 2.00000000e+00 4.41544313e+23]
[1.00000000e+00 3.83977895e+21 1.00000000e+00 3.83977895e+21]
[1.00000000e+00 7.74161929e+22 1.00000000e+00 7.74161929e+22]
[2.00000000e+00 1.74360031e+23 1.00000000e+00 1.29750417e+23]
[2.00000000e+00 2.53017444e+23 2.00000000e+00 1.33891358e+23]
[1.00000000e+00 1.58799065e+22 1.00000000e+00 1.58799065e+22]
[3.00000000e+00 7.88556914e+23 1.00000000e+00 3.88498747e+23]
[4.00000000e+00 2.41230239e+24 2.00000000e+00 1.14497897e+24]
[3.00000000e+00 4.19595051e+23 2.00000000e+00 2.87894755e+23]
[1.00000000e+00 9.94727415e+23 4.00000000e+00 9.94727415e+23]
[1.00000000e+00 1.78392832e+22 0.00000000e+00 0.00000000e+00]
[1.0000000e+00 1.7834129e+22 0.0000000e+00 0.0000000e+00]
[1.00000000e+00 1.78171113e+22 0.00000000e+00 0.00000000e+00]
[2.00000000e+00 1.89490178e+23 1.00000000e+00 1.89490178e+23]
[1.00000000e+00 1.78008745e+22 0.00000000e+00 0.00000000e+00]
[2.00000000e+00 1.35587563e+23 1.00000000e+00 1.25587563e+23]
[3.00000000e+00 3.60438059e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.77523951e+22 0.00000000e+00 0.00000000e+00]
[1.00000000e+00 1.77360035e+22 0.00000000e+00 0.00000000e+00]
