x,y,t
-708.6210987310973,3.1471314359324656,1
-205.07836065270874,2.3422243864425925,2
-160.08691479844606,2.213869531764673,3
-134.06096364244755,2.1172135899336917,4
-113.98893628258875,2.0646252475397,5
-89.77221015186268,1.9984811412891337,6
-93.84974979138984,2.113416907463416,7
-84.22544107114622,2.0171367021828788,8
-78.04180422587017,1.9696116126097398,9
-67.97647673099439,1.9679781407763124,10
-64.71016079317789,1.979986331816733,11
-58.19329495735776,1.985283341151441,12
-53.72716027204153,1.8987818113616284,13
-64.00570250099568,1.9011466337863792,14
-63.23522461452036,1.9867372070506728,15
-54.24431270966821,1.8749696611232878,16
-43.04840643173022,1.7423804951312751,17
-39.933513477077824,1.7242268561966876,18
-37.3691804370077,1.7365383723564334,19
-34.17406419378003,1.6597745773262902,20
-22.243695482475733,1.5711709801769969,21
-24.453594877714497,1.601401575513904,22
-25.900348532161587,1.7240308069094037,23
-22.868854769725306,1.7358132124507912,24
-100.05973576520961,2.7124222754512584,25
-191.20457093111463,2.894743938533406,26
-251.60400645512527,3.0718341400676166,27
-267.427105641467,3.2101093896057593,28
-280.71559225367076,3.3008626161610675,29
-284.2771746064217,3.3217045910713314,30
-306.5375816196225,3.4478220915011297,31
-206.81189031046253,3.0661039441522067,32
-103.34060765256802,2.6987271561007677,33
-77.35979107144887,2.8118031256767524,34
-65.08770207776705,2.725805943928319,35
-80.94989107281123,2.6497842034011216,36
-69.04462670840755,2.4615393323217294,37
-56.80145604787753,2.381419174285839,38
-53.40095124194278,2.2205613202396988,39
-53.3093836804046,2.1663268779836273,40
-67.73491774774486,2.41033164491571,41
-70.08028347003975,2.2463305566613374,42
-57.91742610323875,2.2386269973727386,43
-59.683011032543774,2.3591190901635164,44
-61.020313815495854,2.354786367864984,45
-61.03366528645745,2.430171658638743,46
-61.19368510733125,2.3488192419771536,47
-51.342035222689425,2.1843998131992315,48
-55.507366313129026,2.4135035933154687,49
-52.68005098974631,2.283812651600273,50
-46.22508731557577,2.165398065684182,51
-80.5465647165308,2.7942632103219047,52
-77.69492294876596,2.763541332165027,53
-102.16539150087165,2.891190323762109,54
-120.70718604093541,2.8783467819173345,55
-85.49410277784769,2.7428136540886534,56
-238.8739627127332,2.7668684851325986,57
-303.5980172325913,2.8658327137891026,58
-300.36091659880367,2.796655566229315,59
-341.9103891561025,2.8719955314919536,60
-374.321534351422,2.959292731550925,61
-516.6693391023855,2.9629346631751767,62
-662.957774679574,3.0274034307718387,63
-616.0339053715749,2.902754622732574,64
-584.9196145107172,2.8624451024391133,65
-567.2284302973089,2.8198259279638966,66
-603.3007149179623,2.8899596480855463,67
-599.881553181731,2.883747094125548,68
-433.0997373928439,2.646337175514683,69
-367.48588010278087,2.4208231314604918,70
-282.34012659676364,2.25507911326437,71
-302.0427081969789,2.3416940085835773,72
-346.3770036454538,2.428330776866108,73
-320.3238080639146,2.3818530257452597,74
-296.9224130061536,2.3638493475724855,75
-295.18517273193675,2.4280726527726806,76
-278.5857512976196,2.4832176436624795,77
-220.01862772011265,2.39407452598922,78
-245.04359980506666,2.5755056609304177,79
-387.22258062371156,3.2114269241642983,80
-464.9287648900019,3.4755784299804064,81
-485.18703468229364,3.5741163403754297,82
-468.83214142315035,3.603538600347553,83
-456.7912743688398,3.5221521586291034,84
-475.63725739800157,3.673803046197859,85
-449.9855249290714,3.5970139015989604,86
-302.2718182338904,2.846695176581849,87
-222.78254061111792,2.531205222482762,88
-230.84940416561034,2.5179486756755107,89
-213.3037784520094,2.4784687992195176,90
-201.79278002530847,2.4988540698218116,91
-188.5379980068746,2.462245923793511,92
-177.0693482336444,2.421278289767039,93
-155.86839840725673,2.35674732410047,94
-169.16907628560648,2.4482259368638686,95
-299.1472793829013,2.7931400482104705,96
-397.28834116151313,3.0533652737067154,97
-578.6719793640916,3.4104287841115717,98
-1519.4155696976409,4.049294099625704,99
-1912.9726770448858,4.239247088372105,100
-2626.054899026455,4.614852872250913,101
-2996.0391012331693,4.728914432203644,102
-3106.4367845875017,4.680052873692767,103
-3482.1032898197323,4.656107921450727,104
-3954.8731348012384,4.642122343274531,105
-3370.3924642836614,4.24959223557162,106
-3203.5242597634488,4.166456479127511,107
-2770.557333301328,3.8780720893872003,108
-2590.9043513405672,3.844827025113051,109
-2619.1037776140743,3.9139003479936787,110
-2347.8999335655526,3.7756337207352186,111
-1787.3386796738532,3.518858385882295,112
-1358.3712329309215,3.211832715252042,113
-1178.0902949947824,3.1237570396267604,114
-1023.0629037293492,3.016525141513704,115
-930.6865543120664,2.9044948104580466,116
-820.2288295483237,2.7641734541503786,117
-722.1640220450074,2.5779468303084925,118
-879.0718255620303,2.5722061053628056,119
-821.2820461366213,2.496261294912944,120
-836.0747980343015,2.5124246564940913,121
-894.208164073007,2.5711468522439227,122
-1161.7548943891738,2.5424453935898645,123
-1452.8788402153643,2.5933659471193833,124
-1695.296365036608,2.639494898843809,125
-1754.7240833968144,2.5666707003840723,126
-1975.7666896143933,2.6162932927848996,127
-2118.0234165393954,2.64706713972152,128
-2347.5658643280985,2.7538531427158217,129
-2260.0350457234813,2.796790424938423,130
-2124.123211354472,2.775662468951178,131
-2201.088830697506,2.7668568838758536,132
-2234.0201885690703,2.773820211018936,133
-2170.9503393084724,2.7859277257260473,134
-2167.662513959831,2.782155870010007,135
-2108.3664411282325,2.7843732726491623,136
-2500.447916780502,2.764230159693835,137
-2517.463575499688,2.6925068242595542,138
-2323.0190510422153,2.618970699366457,139
-2201.690750065843,2.6013423674086,140
-2186.4286154196634,2.592000863278197,141
-2078.03546624069,2.554517769510159,142
-1934.437722814729,2.464859212295458,143
-1317.6767068217193,2.2117093867464104,144
-1126.3210383158678,2.1615267230457533,145
-1037.8411224544616,2.106952852842652,146
-913.766426202346,2.0461123875786384,147
-826.679633584319,2.008750043720433,148
-791.4018584039027,2.0122622451747127,149
-741.8835140789432,2.016318495146609,150
-699.11217613116,1.9859491480960965,151
-810.2486592339511,2.049136571323511,152
-764.9068620235323,2.052794374450642,153
-823.9848130872494,2.084931208888151,154
-807.4051112852558,2.0914138110202796,155
-853.0635273264157,2.132648406413679,156
-932.8158187971881,2.2319982383682486,157
-948.7797876003432,2.2952403509323585,158
-897.8417225206433,2.329945145406128,159
-985.7389472169507,2.456302512176768,160
-925.4138401571869,2.4845527659884628,161
-891.9597425260662,2.4889674591663935,162
-881.9195030769556,2.551340074979314,163
-761.9446224600923,2.4779797962978947,164
-736.8505987922455,2.4807004001153734,165
-671.006949307004,2.4003760556872624,166
-553.5738462750442,2.249264871091818,167
-506.0424837186402,2.24572526168899,168
-538.8579826392369,2.2584119204996798,169
-518.4916433464286,2.240522992424452,170
-538.2846606978811,2.2551179432223867,171
-522.103846154637,2.2361230349419006,172
-496.3805137395665,2.249210496602457,173
-518.0705907649116,2.294454564874294,174
-553.4710360507652,2.3522179506586305,175
-486.3124253336471,2.2274446206025718,176
-526.4392238820349,2.236015224246085,177
-526.4230028332482,2.2274342314776594,178
-606.0774629821308,2.3256642079158802,179
-603.643411152263,2.301493358930689,180
-639.0160037531746,2.328353332116651,181
-598.4704423451496,2.2710235762834237,182
-612.9179516155001,2.278618253855738,183
-608.792997404897,2.23699642925256,184
-692.3409323025132,2.2502548894436663,185
-619.183344541156,2.118729718226929,186
-608.0834608204387,2.068088669100094,187
-566.2349303797797,2.0160502339845117,188
-507.2336411893696,1.9560104103130485,189
-495.5011446285092,1.9840886229253465,190
-422.60759479373644,1.891404576069517,191
-358.8348387726366,1.8787462279661142,192
-327.81021861533196,1.916486052811463,193
-287.68891303095756,1.9608694507747302,194
-295.6449659949974,1.9914797999615168,195
-317.9791906128843,2.021318544910657,196
-351.8150902913321,2.0707181618593635,197
-325.5339047423394,2.072807428118601,198
-314.5115794846352,2.1154630572545163,199
-304.104685553926,2.1103603930134454,200
-354.7345693259312,2.142581005276725,201
-329.80497639297175,2.1360217584332557,202
-342.6807023461442,2.1534843783275286,203
-310.16680097009703,2.0838146474741333,204
-338.8035401749533,2.0827701705354102,205
-336.89967824684476,2.0710275967207403,206
-336.2501772310587,2.0352300716215392,207
-444.4183621865523,2.1713405566709287,208
-499.49772419921254,2.209518803303874,209
-510.05242118360934,2.231645989945343,210
-547.9233581963854,2.2730919751811123,211
-568.9199942483838,2.3150786163225723,212
-612.6320578725935,2.331775824713254,213
-668.4162005788556,2.4241926992075458,214
-529.9271429462871,2.2685130666072837,215
-474.01309270545073,2.2110216260182516,216
-465.3777594221127,2.209717530613563,217
-391.502427955819,2.113669303113759,218
-345.028475415755,2.059038742872046,219
-300.37507341784124,2.030146413480239,220
-259.77344475565553,1.9507723292665968,221
-246.05221299310608,1.9382156929013352,222
-259.02690530139665,1.9391458447955883,223
-279.13749376921993,1.960007525005138,224
-289.13567809620264,1.9546162708095316,225
-339.222950652706,2.025784501909095,226
-352.75124966356873,2.0693417393784714,227
-332.60377193976535,2.0521974155274147,228
-331.6168718805532,2.0243123139478163,229
-358.5387042761204,2.0560535356900562,230
-330.47057222689267,2.041299506560325,231
-330.32335984312533,2.0411306860030884,232
-303.3166234775813,2.012209769517834,233
-295.1837493528579,1.9655733173130194,234
-282.6816480856838,1.9483288628930957,235
-277.15589157884483,1.9669936211424819,236
-212.40308913755064,1.8673328161729912,237
-181.6960943968871,1.813588478035874,238
-160.40931708738108,1.8218507075347803,239
-127.97622271968413,1.7178461191156353,240
-101.87063100492331,1.7226615135753367,241
-112.4799626507061,1.8266234563024375,242
-100.14448849028194,1.7921220932338164,243
-108.65244514535613,1.8395252058738043,244
-105.53938466464234,1.8817562132803907,245
-114.03245367922774,1.931439705040128,246
-120.70727293248906,1.9333557943630377,247
-132.58139705806724,1.992991771551091,248
-149.30694965986726,1.969543734578592,249
-183.4702515912204,2.0734606072012145,250
-214.37622591860122,2.1030458108879158,251
-241.7465201028572,2.187286039215693,252
-275.2520194468091,2.292714469739615,253
-307.66375036179767,2.4268367387052616,254
-412.1955002728385,2.443166653282956,255
-540.16525396573,2.5665781392043283,256
-621.5086760176658,2.629383708893223,257
-713.432172720955,2.7960110816043446,258
-743.5770488967947,2.791188694773087,259
-781.7457473871239,2.84013042271348,260
-795.8014613003743,2.858469071019397,261
-764.3719362858307,2.9189280858571496,262
-678.2528477875152,2.9293008752753744,263
-698.260971375809,2.9931983203688723,264
-656.1597865889388,2.892210463530887,265
-709.273497622652,3.0381120737727376,266
-686.1810627714453,2.989331442448394,267
-739.781402882084,3.133725677383514,268
-788.0457992797708,3.2868610909104854,269
-769.8945192043218,3.35067860703009,270
-743.7694539740546,3.350082755291583,271
-743.1264356623961,3.480941507515327,272
-764.3622918130819,3.4154583562062375,273
-808.4303777815671,3.562159484023076,274
-736.6334789763021,3.3644623442201667,275
-699.0502462365813,3.2855716161954707,276
-721.5868049877612,3.278439169717496,277
-702.494825713266,3.177400350649534,278
-679.7828903315885,3.151232062902117,279
-689.0118310432503,3.1154384809543507,280
-648.8980336855227,2.9550107844798537,281
-699.623672817764,3.0226480712968558,282
-749.0822666349238,3.0521172652725475,283
-762.7626005224573,3.040771817248681,284
-828.994181301389,3.127855905509504,285
-838.7597786581716,3.1793327222269276,286
-824.3228960920932,3.1807439773972597,287
-837.5242233137978,3.2724758902682387,288
-833.0313655329887,3.3683252383438576,289
-842.2355410791315,3.43766268415732,290
-786.8138034733865,3.398578252717525,291
-745.6854527787792,3.392680634926215,292
-772.7566524399033,3.428555090815311,293
-792.7297980056151,3.482605647494398,294
-825.0013642350752,3.5403931859798585,295
-791.5313839389651,3.32942835402863,296
-748.1908337044484,3.1822976866961445,297
-796.2360192818492,3.2514026627624175,298
-785.0966887502868,3.2558897899711328,299
-764.1296091653761,3.208375292986136,300
-758.9622323732078,3.2625401732706996,301
-663.6845915440704,3.1200464219968,302
-657.5014523715162,3.1395846185501752,303
-615.7089548525763,3.0860575599815627,304
-541.3210958917668,2.947564635376073,305
-539.3494670170404,2.9176288520395524,306
-568.9292074113008,2.998344544038078,307
-520.4024534477015,2.8487277061800116,308
-521.7771201262096,2.836373892189665,309
-521.6141584541858,2.859346370897357,310
-549.9424073046132,2.957006028269574,311
-522.8398811003709,2.894986280124086,312
-550.5872825301622,2.867999272381929,313
-467.1645551272039,2.647468562125681,314
-476.104839068931,2.601531649610739,315
-556.2785659132107,2.6689950423308235,316
-511.57531600135417,2.5833321255395236,317
-466.82757059092194,2.487081074563723,318
-688.1682834247175,2.7846687417188725,319
-742.8308003209659,2.797922498348396,320
-828.7412628329621,2.876534933814404,321
-1089.9369979479338,3.091035197638788,322
-1426.834143552564,3.155606653561867,323
-1720.697003494425,3.2801764172707153,324
-1931.0836228046467,3.303028415500124,325
-2002.8085438540593,3.225694981372434,326
-2066.5240717506767,3.2550672296886094,327
-2049.7615024702027,3.2058487972162477,328
-1917.20943008299,3.1188025717929233,329
-1577.8725678757148,2.983304806997659,330
-1423.086526781579,2.9232491853902562,331
-1300.896744190852,2.905514312665856,332
-1118.937698727384,2.8726129100687423,333
-1019.330352778427,2.8239758648028768,334
-1018.2146627542833,2.915392613169198,335
-984.1249284919002,2.8997420732514603,336
-966.0845069956404,2.8779065077666752,337
-1006.7699439082805,2.9660191806414606,338
-1168.8996522576863,3.0954254293895804,339
-1426.9464964445854,3.335250930233978,340
-1484.8026955517591,3.3184445859296994,341
-1533.151305369991,3.309038950577972,342
-1653.9339238285725,3.4248132869303345,343
-1670.8715810380725,3.3850915034197278,344
-1845.7838083898039,3.352971484214224,345
-1648.4988900854607,3.1630996491582124,346
-1360.525680255485,2.913671519706904,347
-1380.1605579304282,2.9120396044163144,348
-1304.5054658471506,2.8411247509373,349
-1249.4700975694896,2.76781558821576,350
-1173.4262795113075,2.6972452043911437,351
-971.7798871808935,2.5821486272865126,352
-895.2426132804998,2.5289016579290773,353
-863.8032701368202,2.490968015318671,354
-726.7816750890646,2.3735101774315805,355
-710.0448734419176,2.3984496802448105,356
-794.2800758279574,2.480903219081684,357
-888.2136456525707,2.482751581632774,358
-895.9965062418854,2.454907934177215,359
-931.5392613037,2.476580090267512,360
-994.9606640096141,2.486881698809439,361
-1073.9900503236895,2.4979551491708407,362
-1112.9466902834038,2.4980030777212225,363
-1156.3437264272384,2.520559444504056,364
-1098.134193110678,2.498269406733972,365
-1095.8198063217162,2.4866949340673883,366
-1104.937064724254,2.479748833335759,367
-1130.4863869654448,2.470711780951485,368
-1129.3581714316583,2.467430593005638,369
-1063.3242124419216,2.417878517530584,370
-900.7655042103083,2.3146044840058666,371
-918.8842346160162,2.3469225609252256,372
-911.6664784067909,2.3527916580081945,373
-952.8951222724021,2.4155913346000832,374
-929.1275805091195,2.4446822870178697,375
-951.577550591336,2.5153994053147484,376
-944.6858471245217,2.51943527609304,377
-979.240581167398,2.604497778465259,378
-932.5554064097308,2.5920184814862126,379
-867.587417515608,2.5881319723178544,380
-804.5813112897214,2.568722594812008,381
-718.9185588377196,2.499768176681682,382
-696.7674483105857,2.4224616935061976,383
-705.1279878460796,2.5167418369076624,384
-608.0779849381844,2.3297848233285823,385
-504.5347420586237,2.202470381433342,386
-647.6057484692077,2.206474775245742,387
-629.7343228976947,2.1639647824949826,388
-597.5033345606723,2.1417651652222056,389
-534.342324626667,2.0760627720381417,390
-518.3675346890484,2.0016154997902107,391
-540.4081579434453,2.0042330728178905,392
71.51133426656544,2.0532042095967142,393
369.5282622744743,2.1051771878228003,394
345.3484959646971,2.1180131490148355,395
370.5152545023606,2.1040535106005875,396
410.4789794703694,2.0768401320649774,397
452.52515310858536,2.0429569907942042,398
509.65098149939354,1.9832112130547197,399
-199.78706668842756,2.057819728457988,400
-374.55340157913867,2.0486203713439255,401
-358.06846324914176,2.032672342410123,402
-366.6172566092026,2.0605134325189636,403
-373.20428273103533,2.0682471630435213,404
-331.5917704225038,2.01537345990371,405
-311.84965747476105,1.9850936034519178,406
-280.38418590456706,1.8699867875774376,407
-275.47820532565794,1.8712220027941049,408
-324.48542962960715,1.9582320223321046,409
-324.9791038310449,1.9519611755282198,410
-314.5214960048776,1.9508169804909221,411
-302.6184160029244,1.9655453710121462,412
-295.82257122040886,2.0045542982605244,413
-290.82313361499786,2.0250969901101192,414
-245.19081628783758,1.8867074508696307,415
-232.76842044332858,1.8635812371509115,416
-286.3177655799248,1.9328594807129826,417
-324.46577289467035,1.981491538619735,418
-365.4613973236346,2.0265463277363165,419
-377.8611594598672,2.0283932166477157,420
-435.9496041835442,2.1245261872676457,421
-472.3673338281209,2.1643625436552707,422
-436.2379688466389,2.143347815388577,423
-378.5596987680544,2.141578563184275,424
-357.70369911411177,2.1398715926111938,425
-346.91938851051435,2.186257922561791,426
-383.79260830695,2.2380536759339975,427
-336.32054580684076,2.1637806981472862,428
-321.551407673949,2.2058561703599375,429
-344.5025221056145,2.2905667734540276,430
-394.0671068564457,2.351563405581529,431
-381.34014139176867,2.30488649215481,432
-368.3744936794603,2.2621076090487056,433
-337.1284543313324,2.244763596199898,434
-322.41380426281455,2.1899670729532135,435
-297.2788995455473,2.1517681922356373,436
-292.18005888314053,2.1313516939137296,437
-238.15216062525923,2.013167647926056,438
-236.83620350885252,2.0103081354215573,439
-232.6407033338224,2.04641854284171,440
-258.48688989997055,2.103897106532603,441
-253.4544673795919,2.0783471262919586,442
-233.97519938392912,2.008641271771111,443
-250.08638861720038,2.0409051966013534,444
-257.32447896477265,2.0634442206956956,445
-266.2000019636549,2.0690186144535114,446
-278.56095827924537,2.1007702004966484,447
-263.30111215168534,2.054845064025998,448
-339.56450001551065,2.27635796718833,449
-381.0754201675261,2.390054765768632,450
-353.3415105187078,2.3428085169650066,451
-347.58140768939313,2.302458219517546,452
-336.2338082683888,2.2474446992858197,453
-320.666758295524,2.164647725469706,454
-330.01084208070955,2.1345257836379488,455
-222.77609186123033,1.8695172728428895,456
-201.96658635394976,1.811294103023426,457
-186.74592440068287,1.7803395201734182,458
-199.5795251725422,1.8015522796226022,459
-202.02910788610308,1.8502918543689906,460
-184.32079965627904,1.8233272979571928,461
-179.85125017497356,1.8727893084812177,462
-199.3739190159476,1.9242791132463626,463
-189.7221016814844,1.9625334424480276,464
-220.2083872748521,1.9824077895329015,465
-223.10278521173322,1.9894759290830322,466
-222.93491676309802,1.9773038836405166,467
-215.65117162171694,1.9512750133809826,468
-192.74299815907244,1.8938426420953092,469
-188.43412853888765,1.8949613865835362,470
-194.77404783789672,1.8878769976506882,471
-168.5018687322267,1.7993936900050707,472
-149.59151112159415,1.7419671838269295,473
-171.19218842235068,1.752443061116408,474
-189.35859949946234,1.8314289845692089,475
-241.41285034709136,1.9851002461415788,476
-232.94211947008955,2.004554625371914,477
-239.53709576306093,1.9926441118716078,478
-248.554644728891,2.0302800126654503,479
-303.948291515269,2.2601665924624816,480
-279.9986362480427,2.261231006760578,481
-263.7592930051013,2.2092371710438408,482
-231.32009930695543,2.138734596731336,483
-204.17395273595855,2.040704689754065,484
-173.0721961540799,1.91742997270952,485
-163.783667901393,1.879908899692258,486
-20.02035752786115,1.742003057262814,487
77.13573154462141,1.682886283574328,488
188.54073994867926,1.6401103324541348,489
