x,y,t
-1558.3784896698644,3.500462597365692,1
-1469.4729902971978,3.4417024482654,2
-752.709069012263,2.821162033067275,3
-544.7046727549455,2.4406480681276914,4
-532.0891890309807,2.4889433778643073,5
-528.0551589200145,2.544704501363109,6
-624.4431728938996,2.6920714606471927,7
-682.3324955539551,2.816201144493496,8
-690.2512449150144,2.8303449773670164,9
-695.7421956913307,2.862587354918553,10
-486.73669038383326,2.8223850540579303,11
-461.9183610549066,2.6826456010260236,12
-367.04043538304956,2.59492545450807,13
-266.3362995860354,2.3769610399898498,14
-200.69623994737535,2.1475404701486607,15
-206.85722450154591,2.1588178745826654,16
-210.0563037188908,2.127864720539453,17
-309.0356355422581,2.1285296766681396,18
-627.6766051605174,2.316057112466331,19
-685.4067513131771,2.4468362781894113,20
-993.688263098275,2.6144712778997654,21
-1795.9571414444108,2.788731115766688,22
-3019.689224644256,3.074031310485329,23
-4010.8847263211755,3.432042137102767,24
-4449.4965466720705,3.5342058685735354,25
-4247.584443067852,3.4474932257907294,26
-4236.3471044583775,3.37592806595924,27
-4147.118399077912,3.33907788843967,28
-3575.2351669193895,3.2188188694307285,29
-2664.748463325607,3.0994178699921084,30
-2008.0913879365764,2.869264401534514,31
-1550.4040064470953,2.6666128005851992,32
-1288.8137488814884,2.5481216991404843,33
-1075.5764551775744,2.433685356710136,34
-856.0010936438858,2.308786580962686,35
-760.3302565810384,2.256257362614246,36
-616.1802054710039,2.1546408297401247,37
-562.8269869029539,2.0581844371422955,38
-550.0122985240672,2.03013217045792,39
-605.0952269919204,1.9820414946337046,40
-769.9723110309478,1.98651576342524,41
-857.0728085350522,2.0433199181641726,42
-834.8725303639734,2.011249096145178,43
-1364.4070766320308,2.1336493190514165,44
-1895.1752893404923,2.1685454494126755,45
-2183.5229808413706,2.235817700992357,46
-2479.346240095069,2.307540257888159,47
-2897.4297199276098,2.402830913947687,48
-3140.9332274590006,2.4646839618174186,49
-3276.1766594364126,2.499010018599613,50
-2877.5267628164756,2.4457865824675307,51
-2443.5853709652406,2.4901316868421737,52
-2175.678055138121,2.4317174652372113,53
-1729.8152824573951,2.317378920692086,54
-1070.2374461788286,2.131198612719041,55
-795.2833363962699,2.0201591433847246,56
-634.3770793855047,1.9208772496714563,57
-426.039593577246,1.781996948602012,58
-350.48466074627964,1.7256056542621545,59
-303.98980126859095,1.690644362354446,60
-272.41428614189516,1.6489832085116642,61
-242.52186613764366,1.6238362760240406,62
-225.0626927485936,1.5865988932907444,63
-215.77173266349607,1.5690120269331211,64
-198.67072427941807,1.5453994877859045,65
-224.6943673234447,1.5544303216481417,66
-226.96656153104283,1.5440712684809623,67
-253.26795589482504,1.5995838735433248,68
-291.0072612747484,1.6571221052858236,69
-309.1783276134817,1.6619668327403965,70
-335.00148143331285,1.7145572149578592,71
-351.6497419663973,1.762989273374772,72
-337.3198619949255,1.7724991262402268,73
-364.21281504587256,1.8310485710053355,74
-325.853208930295,1.7758320157813388,75
-308.22397075490863,1.7676231824101456,76
-294.61379747836094,1.7738585831165536,77
-259.2605078799665,1.7600185907784902,78
-256.9353989462805,1.7784796242622434,79
-300.40242366391556,1.868981316441426,80
-342.11673711276126,1.9542282643400883,81
-374.8534877431035,2.0292865980291013,82
-355.9479094187091,1.9947567604706404,83
-344.7181712502097,1.9997624045661573,84
-355.62645359603664,2.0283799860265965,85
-362.67681612252824,2.040811693909377,86
-312.1328098607882,1.9725191683338952,87
-212.64974382228806,1.789994669196696,88
-158.9101313413301,1.688199791627938,89
-177.38016217015237,1.717700729752153,90
-195.25853378292263,1.7392815940325543,91
-188.65729735025448,1.7321916681120206,92
-182.42089095910953,1.7363630560777372,93
-186.11027987230094,1.725984130291835,94
-194.5641748309608,1.7150598376144803,95
-264.06731970708285,1.8015421924006279,96
-264.9641612269474,1.804338241560768,97
-285.07649171815325,1.7962089380195807,98
-349.8743703635581,1.7701473256277438,99
-353.94997318525895,1.7624685103197337,100
-359.9985693444541,1.7727581406538713,101
-373.8559643456677,1.767774613267467,102
-306.58569831287207,1.6521578262463066,103
-277.356296882276,1.6117152065544154,104
-219.03589302864646,1.5283799979261141,105
-148.7440096684574,1.49020344482889,106
-256.41785360837264,1.457562804728155,107
-296.6282823560022,1.3764023363520652,108
-383.03394217707955,1.3055312985920438,109
-444.2551006928278,1.314778842657857,110
-607.9564918872702,1.4241368722952572,111
-747.1214635960349,1.5188998577076704,112
-853.1254089780699,1.5972217841278777,113
-892.2304424422717,1.6569658182514622,114
-1342.7040801219298,1.8345006157543375,115
-1423.6402610241946,1.8534449753434266,116
-1540.7106519465083,1.9100467999158373,117
-1575.4243415500625,1.911102687341892,118
-1648.3511559410065,1.9122093741108663,119
-1779.103476766929,1.9532671372276396,120
-1645.2893315642618,1.8965656724817617,121
-1161.5712474204502,1.7440074969807802,122
-918.6401794494783,1.7297666688376527,123
-768.9356778686189,1.6947824194594747,124
-709.1637505703325,1.679909972846717,125
-653.3678844426414,1.6874288751748312,126
-564.0506707241859,1.6450462667663568,127
-539.0095300437641,1.6468191044218559,128
-500.4940451926399,1.6727588440945087,129
-553.147492134684,1.7538082067408924,130
-808.9212537568858,1.813312438410064,131
-1120.750420240076,1.9177140847143406,132
-1383.806950668598,1.9997005388613192,133
-1661.0149024514008,2.047279061318137,134
-1800.0073426756226,2.0777931594026184,135
-1921.6877112199802,2.0814247144263063,136
-1982.3443112005718,2.0587004355105405,137
-1609.1215907943106,1.964898575132245,138
-1240.4836005002692,1.8783717344121513,139
-1027.3014082542325,1.8043925443255733,140
-946.9830900560456,1.7765638545690194,141
-1065.3634407023412,1.8084143321765085,142
-1133.4683394266401,1.8272391465415019,143
-1059.8086521989671,1.8097853017999084,144
-1159.4653817966584,1.8572428403212413,145
-1203.3134720558855,1.8729205957300286,146
-1176.3493347631343,1.8794043535812628,147
-1012.6051026103896,1.8470065061126402,148
-853.2566043683144,1.8030240543466178,149
-782.9681925469147,1.7760046400131517,150
-856.6070005699321,1.8432322322959258,151
-758.6895456442991,1.785889447217448,152
-808.3461448995,1.8443742994371461,153
-849.2327646497768,1.8884450190019402,154
-856.1020343014508,1.9305820143538652,155
-786.9776263900261,1.9185170185422509,156
-845.0004846126565,2.013759139329071,157
-747.0131558424952,1.9452395930998096,158
-713.7485211278969,1.9238519185390366,159
-653.2995471201076,1.8991104019094909,160
-617.2566209958587,1.8736051173217405,161
-619.0488233370296,1.874384131610073,162
-596.2731078399172,1.8479543052570078,163
-428.01935804430224,1.718173708532959,164
-368.46474671881685,1.6917189758777504,165
-338.654856679956,1.669142006809238,166
-358.37761031782,1.6766988865614139,167
-333.10380574477637,1.6602642661017255,168
-269.2759927842119,1.601418301027711,169
-277.66009488459457,1.612809282131394,170
-429.39627749882806,1.728018931323529,171
-503.26123396420854,1.7879468384160742,172
-525.3180544307637,1.7879090072704409,173
-492.5574207310169,1.7561228151539319,174
-479.63825758142326,1.7811915665923665,175
-481.46608620002525,1.7784219665574468,176
-476.21896607031925,1.7688106061542581,177
-353.07120749947137,1.667942889302735,178
-303.9846636719816,1.6275752536512937,179
-312.06584159965644,1.6437178261803855,180
-271.63843542379266,1.6203570869880548,181
-253.88929303803164,1.6199258973945068,182
-257.31958284396626,1.6302962193546948,183
-283.9388917813681,1.6698360639536318,184
-248.42384122895635,1.662650818947564,185
-256.3072207451916,1.6690361487388499,186
-243.75661702507568,1.6617797584869647,187
-274.876172747821,1.7064944623313938,188
-265.74702315998724,1.7215704518721098,189
-249.36304382633682,1.6934687986144517,190
-204.0428063743417,1.6316021882607905,191
-205.7548433469326,1.6183832879714688,192
-186.17969215227308,1.6184992626892514,193
-181.3045252263818,1.6364126499964509,194
-171.2574704709008,1.619900496750054,195
-171.88153047194157,1.6155651875328687,196
-183.83753118088998,1.63400293086078,197
-198.33962655447448,1.676395960734436,198
-209.47578022151575,1.7092852995841092,199
-247.4156128977314,1.7916738620534036,200
-256.91241420828607,1.8131218719334399,201
-279.1026113569547,1.8803082409524041,202
-279.57703654942713,1.8814391114011955,203
-290.2764186755194,1.9416759064446043,204
-276.68042584433005,1.9302542920819687,205
-266.5314376905098,1.8642921000201855,206
-261.97103187827537,1.879738352599359,207
-352.51591927506655,2.04916686973332,208
-395.1962057179008,2.114004014328212,209
-431.5413493318134,2.167097706507442,210
-425.1861381447676,2.12517877359007,211
-424.82866937131973,2.1207541329143926,212
-462.56742937916067,2.189192237749117,213
-460.4952391736333,2.1482835788585763,214
-419.82337831332876,2.0642161216435553,215
-301.0386208014992,1.763291044774606,216
-281.76806512955187,1.7511791655969575,217
-274.78110245851235,1.7178022763208787,218
-274.6961390695533,1.6962141256994714,219
-244.8059368809213,1.6602521904487808,220
-242.10733641944856,1.6491340714135678,221
-209.91691594022515,1.5984263212247094,222
-279.26030021000497,1.8287146788386803,223
-253.706823954243,1.7747257937747518,224
-251.5451372350442,1.8161461832035903,225
-245.70165523383275,1.8070916862222175,226
-221.97312501036012,1.7972671950564747,227
-178.0164011147473,1.7261449962405553,228
-157.22770699164045,1.7260119749550158,229
-181.74882127269328,1.8135149034148579,230
-187.32564085763104,1.8372062766276427,231
-177.85429367737214,1.8234303895316646,232
-183.6583508576136,1.858825814633806,233
-226.52412711754238,1.9218411822721162,234
-256.4356697888438,1.9536572432650081,235
-263.33612996877554,1.926704839933033,236
-219.70070978572926,1.8191833865961786,237
-224.6864356377045,1.8046888257064138,238
-210.39477039324498,1.7635494139395749,239
-200.10494607242399,1.7449944093737126,240
-177.4111566160793,1.7184217785215565,241
-197.667671819628,1.7838902500586176,242
-204.15073774412508,1.82711155559288,243
-207.67776567660488,1.8422768170403132,244
-262.4941372268178,2.0113071406254552,245
-267.7853339152136,2.040049943889155,246
-268.0915215190856,2.001964978028916,247
-259.1635543882462,1.9609900157407063,248
-225.2411969085513,1.8043037428261781,249
-226.58690793431137,1.7795517880503895,250
-207.24484354023167,1.700437559216453,251
-150.34021147845445,1.547058437792855,252
-158.21309789038938,1.5300788687333966,253
-145.07546470365847,1.500609173627849,254
-126.80034226199696,1.4619270750214903,255
-141.5171848505548,1.5387431437513126,256
-136.12402852724495,1.5648433387761758,257
-134.7176731389549,1.57690021570539,258
-131.31022100625248,1.6151595258443447,259
-115.45584145424279,1.54764352392167,260
-140.12508673862084,1.6188886444824837,261
-195.84798319252621,1.7705882832863549,262
-187.9200685005015,1.8090071278624247,263
-194.56344170234786,1.8328146455591294,264
-213.66272940750252,1.8209381334320334,265
-225.8537204009494,1.8352862541050448,266
-222.42983934324613,1.854994607465337,267
-223.25531753218857,1.867073646609435,268
-186.41565956330402,1.7616522944545474,269
-177.42874490930797,1.6792313419441751,270
-172.90726531889408,1.6442583443233814,271
-197.8008541593719,1.7496111433723045,272
-192.8196255244966,1.7432439922999168,273
-211.27248141682549,1.7833679989163567,274
-207.95975256119021,1.7725104696392968,275
-201.80415358686,1.7459532047092379,276
-255.20582520275514,1.9051560650951953,277
-283.3381332835147,1.9986992922388642,278
-273.1930342245183,2.0081723498816917,279
-268.03446885588215,2.0474076101444942,280
-287.31527122391026,2.1649414238511224,281
-310.9584117819321,2.260480355550815,282
-333.8127440307223,2.3565323671678056,283
-274.4559318216313,2.2047012721414463,284
-247.87602052558037,2.1717262996495585,285
-206.48585827285157,2.0529069854621995,286
-213.6473328223572,2.0996574813472466,287
-195.9963589540967,2.0231540877019083,288
-180.24606178444395,1.997834850986586,289
-140.0210948483665,1.8842078301655956,290
-155.43194278704223,1.9261776703384659,291
-141.78681775331341,1.8533698831697145,292
-161.43817744844208,1.9796576508667163,293
