x,y,t
-2924.55087271267,2.477071241154631,1
-3095.8362713851684,2.4827224136725126,2
-1948.554656417812,2.1622817594568438,3
-1025.5103413780664,1.9241292484845822,4
-679.2899360117328,1.8240092925162046,5
-458.1007992144884,1.773846438230477,6
-368.9897609426295,1.8069568579785986,7
-345.27889895309517,1.8900508265990237,8
-294.4172956334747,1.9688228567414436,9
-223.65743353090085,1.9282037297657777,10
-216.48812852241346,2.015153355251463,11
-257.7521647685218,2.1630775573184833,12
-301.16717117862413,2.446740101637957,13
-351.7947686740695,2.705191417329341,14
-352.02263061397065,2.7821475844603003,15
-366.00458022271914,2.757142614749191,16
-369.2653113036726,2.7452453384511166,17
-355.86701158305704,2.641980411775029,18
-326.75024724894416,2.5967953848837877,19
-281.6266350831614,2.3314447066722574,20
-273.05376435406686,2.3739116778532767,21
-275.61012733594805,2.403601395772348,22
-227.3067497038675,2.229062049138126,23
-209.07850776177483,2.140384083275546,24
-196.26248614458368,2.055974964214171,25
-182.71854389509858,1.9644931061416588,26
-162.14624930621022,1.8479142828527222,27
-106.44855027041984,1.5066754036087942,28
-87.22341108047942,1.392467425331204,29
-90.5564799119455,1.435006111645427,30
-117.85832422971636,1.6163381396404821,31
-134.36601163741636,1.7414195754937942,32
-130.46234679151215,1.7616239766344632,33
-139.3047362693344,1.8012859961801078,34
-161.3256441074956,1.9879190967158091,35
-169.54191645925025,2.038664940956732,36
-157.90730753438137,1.989352313782674,37
-115.54531687343312,1.7615950213306322,38
-111.76790966693774,1.6582937202989239,39
-113.30127643370498,1.6667072567899797,40
-108.19300263017172,1.7546446011817998,41
-176.00236014016608,2.0151322831826004,42
-214.08732152576243,2.1996919892414715,43
-221.72529079982084,2.224577410891631,44
-223.30030756789688,2.257984028568359,45
-203.195977657363,2.2514308632682205,46
-192.31048900853057,2.2863018997267845,47
-224.3265966828426,2.4878179347058826,48
-215.99701651396228,2.760743594673149,49
-156.71140589121714,1.7560829053378118,50
-224.08750816679816,1.8276970422778287,51
-253.52260735205266,1.8507522620394012,52
-267.09371228346237,1.8380988133624685,53
-269.9718163143324,1.809306169323769,54
-249.65857901715984,1.7218158105666397,55
-205.47260212463482,1.543086320511965,56
-202.52995143163122,1.6981809241472747,57
-138.1091784719057,1.6125283501755994,58
-110.7566364439593,1.582573402740231,59
-106.4586779999289,1.60268492475148,60
-136.11657424262575,1.8265679532800365,61
-145.68912884603762,1.880576547727065,62
-173.10699202470556,2.50635886699448,63
-160.13931145126858,2.4555932179061557,64
-170.95190187457652,2.4807555214040553,65
-150.9476135768338,2.343673155413761,66
-137.9169760427712,2.2302900113536217,67
-116.77692949927363,2.065917700635257,68
-125.10983247840353,2.1146732596970472,69
-133.88343340172216,2.2502480089611185,70
-132.24861789226597,2.2681685791053967,71
-127.93085781786178,2.1042704867982036,72
-184.7933315875672,2.4781352121525893,73
-190.23385675894454,2.432956205234144,74
-190.91643911211295,2.387988427811667,75
-167.16769552894834,2.2397090869381744,76
-153.7766076194647,2.094291355294458,77
-167.3649949829204,2.137432990625549,78
-165.2731303077018,2.285704656254835,79
-127.35050008210558,1.940629216840521,80
-121.05696994426413,1.9509817672505634,81
-97.27339733024897,1.7742789197502065,82
-99.76611902480639,1.8024766735603859,83
-93.37712733707373,1.8248942549903429,84
-82.67817271199428,1.8037773837535955,85
-94.51297132851366,1.9166816807466753,86
-102.33805096650585,2.0841053632662816,87
-90.04819502239097,2.003408119548449,88
-90.66901615924701,2.0860967969072823,89
-82.43694251164564,1.9957050425230327,90
-108.91388361048038,2.318818916821547,91
-162.05338631924644,2.438278767987574,92
-154.58944085001224,2.3598400385570963,93
-144.01986537326744,2.1106044601394442,94
-148.46455927512085,2.114228929831886,95
-136.05001181000546,2.061040713711003,96
-136.89550955983336,1.963915355744831,97
-115.26796295398177,1.7895939668935268,98
-76.42166772758867,1.5209495486462186,99
-96.93380533460913,1.6266703601860804,100
-92.41750114638276,1.6873145689733586,101
-103.78751972448626,1.775785906959494,102
-168.47557372514882,2.1437318327189434,103
-233.41123666665794,2.4931999390868893,104
-241.8863430445208,2.4184397256385006,105
-268.2114145001467,2.5384382187289285,106
-258.13660541115985,2.340054119902338,107
-244.8400404924908,2.2328245739228674,108
-242.22753651919245,2.1522420181228905,109
-188.3150568861095,1.8938973566897044,110
-133.7850146468997,1.6265454623425335,111
-122.09154943249457,1.5874624154662136,112
-102.28218887625098,1.4523061978757765,113
-102.0917514805762,1.4059454973004422,114
-124.68239303795222,1.5113470087466048,115
-130.82062527528433,1.5451257777143494,116
-135.76177360455694,1.5988074760811015,117
-143.79048013701433,1.627354059046019,118
-133.44884034900232,1.6012399554880834,119
-133.51393800906882,1.566262123338784,120
-131.4496478469374,1.640705608137949,121
-119.79117198984416,1.5870445387588143,122
-110.1518137286941,1.6095682776408753,123
-104.20111179949068,1.6765702448321682,124
-100.70614206576937,1.6672775397292565,125
-117.9891815781305,1.7290959831078112,126
-141.4082553425146,1.82391926392716,127
-172.6619267036248,1.988458402875309,128
-217.60893011215538,2.0649511714959004,129
-364.30640349002726,2.3988095090263437,130
-472.76131685997126,2.395820473111892,131
-562.9942001831179,2.482862689210324,132
-611.8287626288723,2.434295258465123,133
-620.8512098972764,2.331305501058074,134
-602.25749346288,2.276203956915049,135
-583.2701460386506,2.232795144581533,136
-515.6900000128453,2.0861772738537105,137
-474.4231197089308,2.054453552544579,138
-412.8141254144462,1.8880054155172343,139
-415.2588478714012,1.784290851585435,140
-409.4112585464162,1.8154832133230967,141
-399.55235707304587,1.7889524303215956,142
-368.3676299881623,1.738061693826414,143
-307.2659246968064,1.6188313585220728,144
-295.70794762705526,1.5707333028762855,145
-348.14834137217105,1.6094557528156905,146
-318.25420420878663,1.612743316367254,147
-411.63243857363494,1.6942091474799914,148
-521.8884610038274,1.776437826771516,149
-778.5862077239483,1.9025807192851212,150
-1205.253943641313,2.1347261351443274,151
-1523.196064764629,2.238292627119636,152
-1580.816695140915,2.296157593912948,153
-1675.0350412818188,2.3606179409889676,154
-1615.9344160482647,2.3497482437561077,155
-1550.16808521631,2.327497814971427,156
-1299.9381663259437,2.2575110894678128,157
-861.9162644801273,2.050788357042835,158
-618.2519345261181,1.9255888413952496,159
-561.4983598736828,1.8762115363582406,160
-572.5616597445714,1.9173308942986127,161
-629.8828117295964,2.0087610006301,162
-668.6786881517332,2.035427016364239,163
-647.6823147520428,1.9981686798390323,164
-635.2236270148953,1.9693372333833807,165
-641.2863168800756,1.9966871308264469,166
-738.5308849394945,2.1103190012149002,167
-728.5031700509676,2.1271730168094636,168
-660.6792776980667,2.0694911125358835,169
-558.8930173722712,2.0057784216228898,170
-516.5874407490123,2.030638707207192,171
-497.8590757557733,2.017707108734281,172
-488.21320948711,2.025997136105451,173
-312.12854581281556,1.7687163109365025,174
-253.55494479929152,1.6511478368565793,175
-227.88990810745818,1.6170868382497787,176
-251.39340986107115,1.6473825239595419,177
-274.7136607418787,1.7196815776051646,178
-312.20522557062657,1.8860544861357444,179
-396.7647471405548,2.0068430289004358,180
-506.2627259237209,2.1237687821328146,181
-548.3626373598905,2.164420301734324,182
-593.4173774140335,2.1939259843604546,183
-574.6729642607235,2.159303894816009,184
-610.8956789239788,2.171845647298922,185
-643.678332306805,2.1227487058930894,186
-659.732157929677,2.1069412387665754,187
-607.5996136498453,2.0564608231381882,188
-579.9778480441753,2.0179235145287127,189
-551.236110735583,1.991356068485383,190
-579.8227548725778,2.012261722535776,191
-552.8632112289604,1.9836267484269867,192
-472.31310430006766,1.951571909148754,193
-353.8586717744812,1.7898017713180856,194
-303.5642364395564,1.7121296281675196,195
-247.6029408938418,1.6724819208937658,196
-225.6774489277438,1.658923971753081,197
-192.48616468666484,1.5747406923971603,198
-189.4869918138001,1.5680590129270247,199
-171.5959465557913,1.535277608808461,200
-158.25732265012198,1.4949727488927462,201
-236.75669321695727,1.6198780147173977,202
-265.13267003018996,1.626702850661749,203
-324.55164135108686,1.7569391135197676,204
-356.0275748329732,1.8490866866725464,205
-365.3263793132511,1.8728272665504695,206
-367.87555112837913,1.9026592212369577,207
-372.12650550058544,1.960738618297649,208
-289.8513479524948,1.8850750210525895,209
-297.07936298888677,1.9137812251621364,210
-295.3461727918549,1.8148308746336435,211
-313.2855205997728,1.8386616967085736,212
-331.75419748048273,1.8858920714866594,213
-353.8554304418717,1.9038566369642593,214
-392.575444663376,2.014938902654055,215
-440.57545900482063,2.112623448111454,216
-499.2830524967726,2.3049913340909067,217
-497.2751518703817,2.3084670704501966,218
-463.9474673937007,2.258602886304881,219
-453.0496459921815,2.2742616770413098,220
-442.0162805496346,2.2967027785445535,221
-418.9550570802134,2.2139118548239898,222
-398.5062774116404,2.1611705384632045,223
-341.5115282414739,2.025016747511711,224
-326.9763051912407,1.9968223805504275,225
-316.2091963329965,1.9354956034284005,226
-354.09846916307833,2.0292304045618343,227
-359.59785339337583,2.0616096592760536,228
-357.8208096854751,2.0942400601280915,229
-385.7562734170932,2.1876981907848863,230
-357.24959751506043,2.106351898998678,231
-351.578999785181,2.1711112433331166,232
-449.27491312203443,2.16291357681729,233
-404.65044079772304,2.0035979555635044,234
-361.457322993024,1.9649815354130755,235
-373.8185822317995,2.0063393101796274,236
-291.52999824506117,1.8020575248849948,237
-305.96741471137085,1.848205699701367,238
-334.8935490705202,1.914013883962009,239
-266.47147982658424,1.9781602905655649,240
-247.31958311635515,1.9714680745054296,241
-281.6012384544634,2.0198032642227504,242
-312.3830545832335,2.0645294764938535,243
-408.2769815328725,2.2979613183015233,244
-417.85156629923,2.2921402203795127,245
