x,y,t
-1549.361318985728,3.297954048034008,1
-1713.4018063565688,3.3974879990262243,2
-1602.0078727845453,3.3723646068832,3
-1294.86839798774,3.185980113419681,4
-1165.2804892541792,3.1156983751901786,5
-1008.6656641387625,3.038405026456906,6
-830.1781810394159,2.900680957723164,7
-575.9984552455633,2.816612065987024,8
-420.14486470410685,2.6649312402455934,9
-270.85654540889954,2.534337130857499,10
-208.65310171381316,2.4704621467970775,11
-176.4304800160969,2.438736000773283,12
-130.97212696409517,2.3353414432929847,13
-119.33961541336552,2.340485947934326,14
-98.32491090561943,2.2155495949695303,15
-75.06377380390913,2.0916583378491658,16
-60.543997475103794,1.9737676113146179,17
-74.1044248088066,2.0560217958562528,18
-251.1715311667371,2.577465464306485,19
-491.6070783949333,2.899965710510827,20
-771.3192632017696,3.267744464521129,21
-1030.6257210239937,3.5422646128191877,22
-1750.2555621794895,4.069574813360438,23
-2374.1632201313682,4.406554466009169,24
-2765.518799321661,4.6982727683694,25
-2792.7500299647572,4.759679840444209,26
-2727.3778829886946,4.864647586357043,27
-2522.7446251520805,4.8182805133101185,28
-2397.2922503943223,4.7211890094303435,29
-1939.9203208419904,4.577687903256276,30
-1498.5354653503027,4.516592073668186,31
-1256.2211390478683,4.368296995437203,32
-1062.6892127113715,4.218755033296877,33
-923.3361880700885,3.96665866817579,34
-817.6421873776065,3.876422412751747,35
-732.2071965732204,3.801946570225584,36
-586.2388218628009,3.651241776637015,37
-552.164996592909,3.5868753384978906,38
-620.9446591790858,3.4702669023393056,39
-715.6937222139704,3.5748787815465963,40
-834.528955917555,3.7054552384209773,41
-1018.2477859307693,3.945992646360649,42
-1057.6266677628257,3.9635534151508476,43
-1047.88468325187,4.025239747094846,44
-1024.6325627473984,3.965952987887027,45
-936.3146835143542,3.974509596365843,46
-883.3013774055413,3.930111915055546,47
-755.3152396188492,3.728065040298283,48
-673.9402775261219,3.5993931512274324,49
-632.8436732985625,3.5543234915640722,50
-546.8871001465373,3.462772330873441,51
-515.9967597830029,3.450196124152668,52
-474.3058942240038,3.3659592714578777,53
-438.9385290175765,3.256006673225672,54
-410.5348219833172,3.1907772804903862,55
-336.68796700193013,2.918458893994249,56
-367.6420502149088,2.9248472364344043,57
-450.41390677262416,3.0682220876292465,58
-489.0159935351507,3.0732593147583223,59
-796.8944704561231,3.2796340815103213,60
-1348.1745698214336,3.5639618182805504,61
-1866.0793989046604,3.8056473409720213,62
-2498.242504409595,3.9601141774330744,63
-2761.5346775359103,4.022302277206615,64
-3491.6336287262307,4.171033827751899,65
-4636.462894995679,4.36685885823215,66
-4858.9464478021755,4.454123034362333,67
-4816.764627439758,4.409662963572814,68
-4712.579870387801,4.358125614970552,69
-4299.399236102648,4.239903702187573,70
-4933.642086096829,4.500439019197938,71
-5048.671756850517,4.524413595298377,72
-5002.941991926664,4.513329378267434,73
-4765.364995205156,4.518052176448897,74
-4458.500240539925,4.412757461344537,75
-4490.346524892057,4.453709096347518,76
-4527.719729523453,4.462739021225194,77
-3888.162908784887,4.143748065154065,78
-4011.9416719147916,3.9109938823106285,79
-3553.601243676938,3.7952588234483975,80
-3500.2239800503958,3.815594668840077,81
-3848.058872233706,3.934108308355221,82
-3831.2270461461835,3.9609618186609614,83
-4250.366446128987,4.177373191889144,84
-4307.221301813118,4.250480657289806,85
-3942.7499354952865,4.270091451696682,86
-3167.0165628203595,4.1447631548911,87
-3332.5506753677464,4.192631452336416,88
-2972.433769452265,4.002237556821663,89
-2697.0975618908647,3.8720127245627074,90
-2913.716661689302,3.795795675326694,91
-3394.4856961699056,3.8567156850299025,92
-4046.3529050275733,4.012569472985112,93
-4651.852869905564,4.087845236729389,94
-4857.640447463952,4.150911477616841,95
-4689.060586306347,4.186572385506662,96
-5099.189364864083,4.3041905969994545,97
-4488.781392941904,4.143987446785433,98
-4003.6381978452273,4.064598077625742,99
-3500.74525158391,4.0119827303482944,100
-3731.435350548383,4.073366466812224,101
-3766.978245860909,4.174119947123417,102
-3927.288092133904,4.282291585263371,103
-3665.0737743957907,4.248631556827916,104
-4009.245144213755,4.5175287971594145,105
-4206.719507706476,4.767822818654349,106
-4178.1127653327285,4.826471673973584,107
-3422.7261359410086,4.827874633966326,108
-2918.5257632664675,4.727172969319226,109
-2252.08840289523,4.898537120660446,110
-1923.089283111437,5.281779702543756,111
-1959.816177059058,5.477380696700027,112
-1735.7688752640809,5.465767970904338,113
-2122.5761306681147,5.73045824065487,114
-2297.7884717162856,5.978523979005991,115
-2394.5237548373184,6.082842094761265,116
-2672.8543850032047,5.648131302682777,117
-2800.346088109197,5.280482075207273,118
-2470.4689183208825,5.108582091666392,119
-2277.633862547251,4.989088025120543,120
-1599.8436533709807,4.583178180522078,121
-1538.9039209372365,4.403076054412469,122
-1440.184631903705,4.251474424833564,123
-1414.7901499948862,4.2754017149972325,124
-1166.8847350086837,4.047331076138408,125
-1020.9914467594073,3.7464540160242525,126
-1008.3084221392891,3.6586363102694905,127
-1165.2230286436893,3.673346244141938,128
-1122.6822116623694,3.6430433076738864,129
-1019.7526467073369,3.5665338970977905,130
-1031.7806037446082,3.5039143265126707,131
-1034.6528530953888,3.4887194296345907,132
-1079.236752691586,3.6510857974994004,133
-1039.2946051806928,3.7530534212582394,134
-829.942804592605,3.67255690980408,135
-867.0292303017803,3.8234431194448137,136
-978.3092155030048,3.8393839600044632,137
-1030.3414644581849,3.848051123749484,138
-993.8085532939467,3.767412534439007,139
-945.576967895763,3.556509368908873,140
-975.8478795668611,3.5573234993541094,141
-938.2141403368311,3.7213937066294487,142
-975.3460371534217,3.737966782991385,143
-955.6840431925301,3.813184921949227,144
-933.6651376111606,3.885481614048012,145
-1007.5790133331848,4.0168488260569815,146
-1097.5931558830569,4.2580588548841005,147
-1082.2750888970643,4.386631399833008,148
-1146.1345870025334,4.268990877003848,149
-1121.7077494058785,4.216806909732529,150
-1135.2920365297439,4.190242900285393,151
-1074.793779618713,4.128281265978727,152
-909.3452258116854,4.006755157367606,153
-791.8389821608047,3.8991682254570947,154
-836.9814498689464,3.8251689157077546,155
-777.889481882644,3.7052713903416996,156
-882.019265470405,3.8169674406954957,157
-984.5559656182426,3.7801744486057562,158
-1131.689273971832,3.763122907068274,159
-1291.7120162132796,3.861652369399036,160
