x,y,t
-383.3502303720051,2.7307756798442373,1
-515.86838201923,3.014927780320254,2
-579.1456089067464,3.117312168667722,3
-618.749819123134,3.213034271289569,4
-676.3265012888887,3.159670977429629,5
-577.529513242496,2.9596356359465426,6
-554.7407532018572,2.9629353425136578,7
-628.5038835993067,2.0738110912480683,8
-448.47323779954627,1.8597921465657725,9
-374.6348809369567,1.7598868426984309,10
-357.0278918552172,1.7266977928860066,11
-323.1627882851747,1.686884412449766,12
-263.50232762372826,1.6343565139694312,13
-246.11528850785558,1.5990919813684203,14
-212.27797433672893,1.9584637143398158,15
-196.90344617806932,2.071517429900994,16
-198.20422160229836,2.085613585361428,17
-186.96296859711072,2.089360119634601,18
-169.38714272944497,2.149267969129812,19
-189.61303441163065,2.211853515353763,20
-173.85689695983652,2.172767258001657,21
-182.75107504235567,2.1935798721341175,22
-215.98827833212502,2.3140612860694216,23
-260.51494784844255,2.447860397053877,24
-276.9881600819223,2.4812409374640305,25
-304.1859807261903,2.5893916641631733,26
-308.7043377695064,2.641602387593787,27
-325.5480334118869,2.677789723231088,28
-335.08005115267287,2.66064469982232,29
-269.8405484815361,2.445498529548358,30
-202.48323691021727,2.257621243504428,31
-179.58774770877395,2.207644308977965,32
-150.62616048990333,2.0967618303990725,33
-135.58457251449408,1.9014071952207396,34
-127.27528646120649,1.8525988696924045,35
-121.12563506861507,1.8350172484129215,36
-129.49462674345654,1.8504293819221949,37
-153.84878045319792,1.943612641706123,38
-158.2459177229445,2.00487720622096,39
-166.81017141412636,2.0413396922941667,40
-189.22250947051896,2.1877533183057807,41
-188.52573111031026,2.1183442490203412,42
-207.4052169085362,2.139684504510094,43
-239.6039166633508,2.262248617595607,44
-242.11153152936316,2.2782658708097134,45
-249.44886755799678,2.282007522368,46
-295.9766089524603,2.4119150072010775,47
-331.94452120579047,2.4389107748798993,48
-339.5714427946095,2.4502774209281153,49
-318.70499761811044,2.428270218345285,50
-294.7237897846435,2.3757180519139145,51
-281.774028897094,2.2949695904235883,52
-403.7700209702921,2.3686700350707937,53
-481.0647026736711,2.394978953594854,54
-543.2847257774112,2.4865907742605113,55
-597.0673652273036,2.5410671027667395,56
-649.7947756233254,2.5922674752526103,57
-671.0748444694078,2.640593332893694,58
-717.1303795188992,2.6977777545380333,59
-673.0072204544239,2.7989268712839053,60
-739.0185466399306,2.952470957390367,61
-811.9996744407337,2.8981375901890134,62
-875.3131745388932,2.9767116317910833,63
-915.2847706121922,3.0171572056406593,64
-984.6149306580298,3.110802203748404,65
-1065.3819669893624,3.123600572478783,66
-1047.5937298183912,3.0058513177169197,67
-921.918099676088,2.8114653877196125,68
-769.2464270478368,2.690720299505145,69
-661.6512642227356,2.5712987690046765,70
-623.862506148533,2.4965449570709044,71
-597.6890983699443,2.4097327817640735,72
-561.4494466581251,2.332973065302143,73
-525.1414304077367,2.245181336339347,74
-513.4738521781002,2.2297953168897524,75
-527.9687645156995,2.244551088379917,76
-579.4388707418157,2.2724675431179806,77
-612.2884871030128,2.3548262733682517,78
-539.4120368356871,2.2919396814104127,79
-489.16658702956266,2.1841072073876773,80
-488.88456499470794,2.228571283367914,81
-487.28873270848146,2.2451869586795423,82
-604.3618359096495,2.388040347883907,83
-706.3355821882438,2.3619323484223913,84
-706.7960902999617,2.3244914044884184,85
-751.1641586570632,2.341141297928851,86
-750.3864838084007,2.3031726776284454,87
-777.8014014156126,2.267731319007848,88
-1003.2776612184001,2.3664321827256303,89
-869.9761819445283,2.2537526693361674,90
-772.0306307368335,2.207216078927094,91
-770.3438247161214,2.2545565859594503,92
-797.6606256990283,2.307130727860034,93
-819.5957928817293,2.3410495560321114,94
-829.1369630104504,2.3745540482841494,95
-585.6269979320728,2.180280169141914,96
-570.1202933206202,2.154253976899041,97
-606.9565105538805,2.2330474922053587,98
-609.6035377548852,2.2566425750148738,99
-641.9822570785009,2.2969164619946048,100
-671.2805429277554,2.356360034780919,101
-721.4346811953891,2.349955226060151,102
-689.0408617670755,2.2768152464032902,103
-701.5175793642102,2.239989927383534,104
-669.5083427297595,2.149201831512089,105
-658.8240022003505,2.108621023028713,106
-593.4317014012731,1.9903589619526492,107
-554.3724968240934,1.929948787567059,108
-538.8416340406912,1.9101588892294492,109
-664.819100872308,1.9648276340681576,110
-652.5517556724429,1.9288714570279613,111
-624.3676632667333,1.8904656912232454,112
-603.7754917948133,1.8792314408811293,113
-578.8386416902184,1.8656310341966758,114
-583.6475488319369,1.8733379054454302,115
-551.4650373822817,1.835246046696693,116
-409.3514776689099,1.7172011813820107,117
-385.77128452018246,1.7210574431115093,118
-407.40224385574425,1.76099325384137,119
-450.76636275215844,1.817858069077354,120
-464.31719362594254,1.8383314892001212,121
-459.2619387341361,1.8353641263813198,122
-441.18123208554937,1.826231805537564,123
-422.3104876157813,1.8330677026385076,124
-454.2057093279239,1.8732261596570772,125
-398.21419413983847,1.806356524721914,126
-346.14858364615094,1.7739147495314591,127
-346.27887403115193,1.7929565351929215,128
-358.0576984031227,1.8716913287487957,129
-359.01146423930487,1.8563778544661744,130
-329.6365361818203,1.8181327403071643,131
-276.5720728206984,1.7326675659263504,132
-269.62898835189856,1.7594002629017724,133
-255.451062281165,1.7316108230507263,134
-231.66151295583265,1.7093398041184302,135
-208.58888110120725,1.6765972676759568,136
-184.15744574460086,1.6195720656767836,137
-194.4261853926569,1.629225296074189,138
-183.0031101785569,1.5838305826727743,139
-167.55722348635499,1.5055687791773336,140
-185.7556922894888,1.4888853286414179,141
-189.93658006044942,1.5220180686344724,142
-199.358606895843,1.5162935405419744,143
-190.9326720937363,1.514905165338628,144
-189.19005846747595,1.5128977716988543,145
-228.3160364647116,1.626409901580481,146
-254.2450006119183,1.6930668274410907,147
-269.2392270770716,1.7341074432287336,148
-274.5584767942749,1.7235480077620542,149
-279.905629346884,1.7303423883973579,150
-362.8729451339317,1.8646845473637834,151
-350.51035506578967,1.833914627385979,152
-306.42580826623146,1.794054879605416,153
-288.8887093935071,1.7975562919717845,154
-238.81295985903478,1.7730631065474995,155
-231.1772894334193,1.7626134031120078,156
-237.86128434276637,1.7769490985287528,157
-192.2209254989488,1.6596506588891338,158
-226.44169165548576,1.6989195436179543,159
-230.2030491428684,1.6991213449762932,160
-227.82321627061114,1.678513507040162,161
-247.1210624213575,1.7343563451209953,162
-257.5733315939992,1.7613082191586011,163
-231.25998440040013,1.7317958960372115,164
-220.57508673875435,1.6959440954482747,165
-224.5789922641734,1.6856350790834902,166
-249.57671989588178,1.7521596836393296,167
-237.2146413357585,1.7410185491750196,168
-242.19634538022373,1.7341221962633013,169
-350.7400048269691,1.9071626321611415,170
-364.7948114013284,1.9473349074005792,171
-369.9658405038522,1.949202944031699,172
-350.0472293167173,1.968956203113806,173
-333.49678851813485,1.973056727977883,174
-351.76405801647815,2.001947500359477,175
-351.11071871401424,2.018870682194553,176
-217.8462394253303,1.8298431928391945,177
-225.29239796548,1.8379808054523545,178
-225.77490188264156,1.8198488189601716,179
-257.2013816148236,1.9094719571429348,180
-347.7646490775049,1.9726072694552945,181
-491.1902728146369,2.1543875940230612,182
-677.654007565181,2.4089905900737625,183
-762.8914023670424,2.4651308400906786,184
-830.7650629862741,2.535432123675071,185
-915.5557546805065,2.559443724529227,186
-953.6370755454815,2.5461162457708544,187
-885.6159077086118,2.48557222212616,188
-869.823844824852,2.4674901353033953,189
-791.7274684752534,2.37187901682447,190
-814.5409553131518,2.358253972436772,191
-817.4705885407836,2.364416691006746,192
-775.3111602543057,2.3336386027819347,193
-757.3443310838338,2.3069286450960282,194
-740.6487186300607,2.3167120631619804,195
-552.8043902242212,2.123478232293249,196
-502.43236175038567,2.11339256622128,197
-438.3446567714325,2.091425183450439,198
-371.4543216061605,2.005596608361951,199
-331.2186456108727,1.9615716753028138,200
-280.1633651130948,1.9569525144031783,201
-447.54145924224036,2.2966000863475884,202
-565.8538617330017,2.526218809160017,203
-549.6710872693515,2.4846088116509644,204
-535.5597922799451,2.4429390374625597,205
-575.462859526561,2.4884910045249686,206
-576.2358415229779,2.4908848227833835,207
-678.2684790156718,2.4705203656001737,208
-522.6026378441932,2.251932473668957,209
-488.98962222793483,2.1767843020259967,210
-518.2762715213637,2.206892282656864,211
-532.5412698526602,2.2346327553672234,212
-522.3933547389731,2.229586478313426,213
-595.1410341281075,2.3144213992573763,214
-508.7501804802923,2.2178849315998397,215
-485.850076650588,2.15638275217826,216
-457.5911204185119,2.136339479655082,217
-424.5644521005613,2.100694367485967,218
-393.8527964084635,2.0913097106527867,219
-381.8603462741607,2.143239281587611,220
-288.54980797746026,1.9946618323716316,221
-277.8735159607916,2.0103314509945833,222
-260.9793082193353,1.9939044729055895,223
-242.28523259525764,1.9701679329424355,224
-207.23868036862183,1.9126883791585283,225
-233.3873686331691,1.9611638434111789,226
-224.1232997350556,1.9277478761087696,227
-238.1891012805288,2.008533872877924,228
-272.02029172569405,2.0832643196847043,229
-319.99989967820056,2.2263088341821784,230
-323.28822793039933,2.2642121013905605,231
-340.0554525130394,2.244771395596747,232
-362.7877715638491,2.3132809326167845,233
-381.2230129273638,2.429505729809655,234
-397.52394873669306,2.497178431961108,235
-398.2025041046371,2.519980141716984,236
-356.8447122016994,2.366502334263028,237
-392.6034148888033,2.461396693949971,238
-381.4460835475457,2.495382361921361,239
-325.76633449099415,2.370493817252126,240
-313.32373566153865,2.302871646359171,241
-312.5393723238032,2.312582152094921,242
-332.9403134662394,2.321378768543912,243
-327.8697861166701,2.3372513903949104,244
-311.9775859173278,2.307737383124652,245
-314.0863437353342,2.3024430409647603,246
-337.5244548194305,2.3130832144841187,247
-328.634776481488,2.233044013675136,248
-335.3987575012265,2.2401213942954916,249
-319.8050427446321,2.189239168368011,250
-327.06302031411985,2.2283297263178343,251
-361.2628036454396,2.2671316839792275,252
-413.5465857089019,2.375516727321939,253
-419.54911185333344,2.329263211013823,254
-391.6085143783944,2.312537532750854,255
-359.50066873610183,2.277529424323656,256
-346.61790725013816,2.2328640150094095,257
-330.37767728475205,2.1959639303211453,258
-323.4136264339437,2.2209204405044027,259
-279.36585090549653,2.099659870162392,260
-275.9415387047247,2.1099169357601797,261
-303.9095323253575,2.2012333625430656,262
-335.9913140114325,2.3133604234422345,263
-310.6977503812666,2.324097904939838,264
-308.70512400026394,2.303253248551305,265
-315.96689425150436,2.3016469350947477,266
-324.4151179006824,2.3521679648783542,267
-303.3718705512184,2.268394200938638,268
-309.31055690053995,2.2941702121536878,269
-224.4788250761357,2.006679379959172,270
-256.22013602223916,2.0561486830099285,271
-288.01413059504796,2.1877333623451833,272
-282.8463902470317,2.1912373031718655,273
-260.92472002549084,2.1779242404071573,274
-268.4533474405051,2.1810533981968105,275
-280.1202211647999,2.269038436356994,276
-325.81959615994975,2.4404533657676204,277
-274.7821500131836,2.38574899738354,278
-249.75880271978832,2.192141012160472,279
-253.6529098602024,2.2080843397404037,280
-311.98435290484946,2.4128177535625657,281
-347.00365450206675,2.536279231938744,282
-342.03617655245114,2.499903581330059,283
-296.8158729851074,2.3597101931467503,284
-314.0511155294762,2.32911650833112,285
-333.3399476557808,2.393278599080897,286
-384.23124201916266,2.4489763732148537,287
-352.5540194972136,2.4016090359233746,288
-338.9487554340969,2.359838214642187,289
-378.12047977946565,2.435080448353833,290
-412.08759963313827,2.5726632153656155,291
-401.07856643596705,2.579678060134731,292
-397.79833821235866,2.5651382402332428,293
-348.63098101663314,2.3948157768873126,294
-334.4784922110059,2.354088933292787,295
-308.5057374637054,2.291780147863275,296
-269.7310025296375,2.1815184432764076,297
-240.2529863739149,2.0200410709286105,298
-247.6701661407268,2.0275829207494747,299
-245.03196315952425,1.9929984197263024,300
-271.4039348128445,2.1125823264283854,301
-263.07390980996814,2.0210303816345654,302
-315.534505918004,2.11531956675883,303
-416.8829343643423,2.308470006944292,304
-423.5088240933322,2.317527819575287,305
-409.46012253436345,2.301399388806158,306
-415.83968829859424,2.2865226013318822,307
-349.6409200057883,2.173861771860984,308
-346.9457412869862,2.208414712556043,309
-291.96622140127255,2.1169364061458107,310
-188.7010865159257,1.8506920152442716,311
-217.58755747145727,1.9312909963434086,312
-240.13685249970783,1.933005942569115,313
-248.62787933187843,1.9834200062320035,314
-283.2272622510291,1.9325192070666517,315
-260.10800153619806,1.8780096611904753,316
-247.91008601496426,1.8198457810736546,317
-239.21443778656035,1.82028147754186,318
-200.89259493720277,1.7874506968277841,319
