x,y,t
-118.27022541893689,2.0851238286712714,1
-121.08840159014854,2.115719730881595,2
-309.172828895217,3.1736991106706887,3
-323.7410465707969,3.262976863483326,4
-324.1833989549913,3.2414876334619813,5
-457.54671415022585,3.651251586427497,6
-503.13196038122055,3.799287080487755,7
-468.6311328330209,3.775305747781782,8
-451.1140930711383,3.6507809543453282,9
-304.9895284135641,2.993134375127693,10
-298.9687700719787,2.928652467364348,11
-329.6458417131009,3.093560224795388,12
-223.50240714442722,2.5841112440946143,13
-215.29732579675132,2.5108608391815705,14
-265.91302852275044,2.7950018933973912,15
-397.6618824284199,3.1275504595270296,16
-432.74934027350446,3.218668745841548,17
-432.5305684002013,3.2526817979910074,18
-410.625233304635,3.231949643813581,19
-375.84766746282406,3.1426249490339724,20
-376.62585423295906,3.0814779988412133,21
-341.4108734955315,2.792043524412019,22
-202.05151474924855,2.201587856061865,23
-166.4430805724359,1.9863939978724592,24
-192.12727199092672,2.046424928442346,25
-195.4623374559185,2.000257673527533,26
-222.67905725474625,1.956081099526917,27
-223.95804976470504,1.740168320786412,28
-248.86753009052677,1.7178041011574918,29
-258.9213039649372,1.7136082274421973,30
-257.36441257880097,1.659672397695653,31
-228.31257750999083,1.5649053800370192,32
-251.94185604749225,1.5347788815863586,33
-287.00048589960255,1.5429010229642903,34
-319.5703756915869,1.6227024445956704,35
-308.3610159988707,1.6153501371514154,36
-302.86876595479066,1.5953854794830769,37
-306.472450868928,1.5770935732327462,38
-307.6716455294249,1.57308595346587,39
-316.0343114212069,1.5632880903171547,40
-366.5778634436936,1.6316410818855223,41
-352.28222231563,1.6103157705085303,42
-390.32199605945397,1.648537029973372,43
-481.0367565109576,1.7106353718812155,44
-538.6858614373696,1.7673533173967535,45
-548.346827703266,1.781735908993974,46
-571.8358518732102,1.828689049605372,47
-507.471462811402,1.7788221113795248,48
-494.2146610869382,1.7855463224019776,49
-470.4293067744109,1.7914175244529202,50
-372.0668668026467,1.7353453474906517,51
-318.07977966916513,1.6948676799544318,52
-370.7358009560924,1.8261442677128314,53
-333.0875653482338,1.7702308380964291,54
-296.135495996849,1.7166542966866116,55
-325.5591976366382,1.7626449865791682,56
-317.07971492053633,1.7147654598595512,57
-324.4329119051223,1.7233089842674207,58
-326.5839868357351,1.726487285363961,59
-258.0809472006488,1.5954087297342237,60
-247.48972858977416,1.5850667330666381,61
-258.65014497849745,1.596278645463174,62
-224.76605076647522,1.540021709742502,63
-229.9161510102422,1.6117985311056646,64
-259.93958046516536,1.676484307745053,65
-271.9950504933562,1.6543558526587492,66
-267.7915027014751,1.6304666275687691,67
-255.7581088624782,1.5904638328972485,68
-238.9085319630438,1.5484107924118267,69
-251.8566975103905,1.5655837704299083,70
-262.84413489656305,1.5666070584114782,71
-243.28708548848348,1.518326814778469,72
-234.5068533272752,1.4991256967324453,73
-519.8987737186761,1.8144261801812565,74
-560.7584588505958,1.8289249182301577,75
-577.587673638734,1.8142837672273897,76
-563.9103462487241,1.7555992964073017,77
-538.0791452358204,1.6984473840110406,78
-546.3762677055593,1.6976514493688764,79
-536.7290548447081,1.6743928544605087,80
-294.8733382866087,1.4077054652518894,81
-282.8062524619428,1.3942992035202828,82
-283.94098002125094,1.41154502480114,83
-326.9587145564219,1.4608536901183868,84
-347.0925132550967,1.4720737633263716,85
-421.6933285879306,1.5626179622342224,86
-1543.7824526086952,2.3567987298118886,87
-1745.7286146153301,2.512892447066433,88
-1870.3929847625216,2.572651415074241,89
-1914.4102858723297,2.620077970852024,90
-1872.0788672213432,2.643330270495657,91
-1961.0700701357546,2.772307742601957,92
-1938.645483014661,2.799055059539042,93
-796.9535714709475,2.078578277621952,94
-592.6903743178041,2.053303588370411,95
-509.03423502407617,2.063664222808776,96
-462.88781475789784,1.9641940516616474,97
-452.38962580694647,1.9769080848727119,98
-416.66828900969983,1.8938187909791737,99
-355.8537119674116,1.730763717100281,100
-375.6039396387459,1.7846337258541198,101
-402.3829735855609,1.8750029796962497,102
-394.11411912845296,1.8721866144235486,103
-390.647501278267,1.9005446215987347,104
-393.98843296942175,1.896797649856625,105
-399.4845430254419,1.880319526645238,106
-542.5810851034356,2.163425183721775,107
-546.7089053873473,2.184286791986151,108
-507.1325774660014,2.062510445108629,109
-526.6151696297821,2.06334122591815,110
-532.6800755601472,2.0504673536074245,111
-520.4617936977766,2.0277289966115615,112
