x,y,t
-161.3144881898164,1.9946042412414502,1
-162.7601120467243,1.9918623136181295,2
-175.39529547263515,1.9838901493720162,3
-206.38084040574398,1.9684166834419792,4
-218.26131587523287,1.97296099484695,5
-165.9409548464412,1.841482319634662,6
-99.65655684347082,1.6882863427799641,7
-80.99710674611916,1.6699546671352092,8
-88.83803395168565,1.6929062789960645,9
-91.68840647293231,1.7348310088694259,10
-80.06802780838821,1.7567317973391667,11
-84.71119442445855,1.7731725744264486,12
-75.62978024517717,1.763037047152194,13
-69.42633772083705,1.7834414652228725,14
-59.09552723664146,1.7185073906475703,15
-54.59730503778513,1.7186941018458677,16
-62.91961124757954,1.7563454330985298,17
-58.811853002327325,1.685138159566452,18
-62.024241873806865,1.7492245375606568,19
-65.27894473667129,1.836217820007648,20
-90.46384475335408,2.0416307586429614,21
-186.7141791123761,2.6107840961240503,22
-308.6002974079462,3.2368226618211593,23
-422.92070707795546,3.7124316670329556,24
-466.9524431789449,3.7797427618452852,25
-469.04719804878994,3.8735804596705865,26
-493.95222545325225,4.00447301393787,27
-464.0252586165937,4.033062614531058,28
-373.3087315835208,3.9954987131056834,29
-253.52380647024182,3.7489096739151413,30
-131.81815108647422,3.20484365704514,31
-88.93670404842196,3.1675670909897926,32
-77.64518384088802,3.1891858694988704,33
-74.44462545330181,3.093825128721435,34
-65.00690737416588,2.934611344450674,35
-68.66617345215961,2.836530774818495,36
-85.16985988863192,2.8013520308383075,37
-81.63566497315907,2.666314601213391,38
-67.16410815291773,2.6499194269994537,39
-82.37133062687262,2.6119767651133876,40
-74.03930988883924,2.5856171861922896,41
-88.8281164279994,2.7852927726780723,42
-77.07839294310357,2.7717657500730652,43
-81.36586056995769,3.1435499349774036,44
-106.37238932230615,3.3135409675175165,45
-98.13051834075182,3.273741050782966,46
-78.63423498077749,3.3372056499195324,47
-74.55393524554317,3.284410506267253,48
-68.15343937260918,3.31052803974211,49
-82.06120691564843,3.173228822177903,50
-79.78852605501925,2.9735394032792115,51
-64.22870711128363,2.786965906807242,52
-91.26781780980703,2.7820222970911708,53
-111.55461239433598,2.7131433616715266,54
-146.3770686706285,2.770661137338479,55
-160.40063978473492,2.7827125270560686,56
-166.48489073679522,2.8196372740501667,57
-171.44160041246647,2.9390653235259014,58
-183.13164974199256,3.027370326055424,59
-204.17494034907867,3.1397129869336537,60
-216.16263103326733,3.2016545481720944,61
-184.28736296596642,3.1986877179003455,62
-192.76185592172428,3.008151221961526,63
-190.1290039314113,3.0150553264948248,64
-257.90942894770325,3.105448673522898,65
-333.7648570886601,3.18508310781859,66
-320.9921951839024,3.194628659207745,67
-334.7403243670845,3.1467306351561506,68
-334.8924140369348,3.1307935773606577,69
-294.912133914394,3.0884247574952846,70
-305.687882426687,3.130758019778131,71
-271.3508227618643,2.9840446261025058,72
-188.77478446933452,2.9143217938577783,73
-159.5831932140896,2.871111503775768,74
-129.77333827752673,2.910568670228393,75
-125.9711323261204,2.9176719357515846,76
-123.85259691971817,2.985257397279437,77
-136.2729980463813,2.9779059135184203,78
-130.08012196008542,2.913176352034847,79
-123.09669689314487,2.715139607071941,80
-141.86543821203844,2.7128650272005372,81
-200.57008253991256,2.716966983964913,82
-238.93151461720376,2.722512390771578,83
-274.01635577727353,2.7699814940339382,84
-267.43949831071933,2.733886229006801,85
-260.9593426389788,2.7668898221205374,86
-266.04851654702964,2.847656519525795,87
-275.564640019972,2.866443532583128,88
-265.1604923411752,2.7592732888755878,89
-243.5390397498419,2.7319972014944143,90
-184.59556165351407,2.5839661672800016,91
-181.45059147792102,2.4905833975122853,92
-153.52616835090765,2.373150192870288,93
-149.67546181869284,2.351893601341638,94
-180.22842136493023,2.335053746173138,95
-171.2606951867637,2.3568024639536955,96
-139.9444035266894,2.319089090113393,97
-151.90982679797776,2.3929863621932532,98
-149.72790307330771,2.40502937082222,99
-167.31615095709307,2.4206203819175536,100
-239.6852770717736,2.360159429654224,101
-274.3526557065318,2.1828785272687345,102
-292.2121672502343,2.1602667310684254,103
-341.90431361792815,2.095687988415227,104
-358.6389244774604,2.066553931518986,105
-341.57879873218735,2.00817713029942,106
-342.6227717960653,1.9541570768793874,107
-305.7157516923049,1.9202650106867474,108
-269.4056843958821,1.90591897582659,109
-264.48650019421467,1.9135708612363005,110
-249.2118124659217,1.979776143139304,111
-272.355738349694,2.0302265901816403,112
-311.66902084764234,2.108230468059497,113
-305.7604634342093,2.1212026708677314,114
-291.03663641229974,2.1539450587973485,115
-319.8974975698911,2.165171161619735,116
-354.98975904096216,2.131883988090727,117
-358.66649293292136,2.168072239207906,118
-385.051978194731,2.248883092812747,119
-421.80957172836986,2.207813233891297,120
-439.54404142276104,2.224810682282616,121
-482.30456781692703,2.269682654244069,122
-523.3064612330908,2.31328118331143,123
-560.904003040095,2.311186285495397,124
-574.2280576225198,2.2227884912654554,125
-539.3075631898024,2.1396752612161696,126
-499.9545657330737,2.1099603504171336,127
-505.8649375656749,2.1233294066919375,128
-481.0877469905523,2.1153516262884966,129
-438.69551296674837,2.0536547930210283,130
-406.77696380602043,2.0753552849485755,131
-428.3882899826383,2.122170755192805,132
-459.67581522938355,2.1339255625580575,133
-495.46438210653304,2.156295977009745,134
-508.68409047382323,2.157893490570062,135
-507.4729659871084,2.144526884064371,136
-503.8702492500151,2.1256385285782575,137
-511.2327128369093,2.0973983164220455,138
-474.0488577205573,2.071439976658328,139
-466.610003328945,2.013718400667045,140
-436.82488995697116,1.9744813458580395,141
-415.97850040638673,1.9293426509864053,142
-421.308537567957,1.8835452173526956,143
-427.45515539628224,1.870153590680873,144
-392.65980356856943,1.8353081826195679,145
-399.56191436928646,1.8476880835696472,146
-345.02502720564695,1.8365935604849681,147
-372.81293209312304,1.8475757245604274,148
-341.0132353342991,1.8178476835489312,149
-334.06189690172135,1.8182613791777051,150
-301.2522910870571,1.790296086166717,151
-286.47891398345416,1.7729878410035735,152
-271.44956976841036,1.7559775488954164,153
-269.554981471235,1.7521157819607929,154
-227.5958542070831,1.7233791307122512,155
-215.6388657168539,1.7129853622670845,156
-207.3206227945942,1.7275324906323886,157
-214.12375167355282,1.7381184890431394,158
-219.27894107182001,1.7028048630611805,159
-205.43794610709276,1.6612627946711676,160
-205.10737043733351,1.6675314994490607,161
-203.73872288969736,1.6726931390045312,162
-241.5768939522207,1.6850291747232338,163
-251.70517226037552,1.7144275189897822,164
-241.72379111712982,1.6913785101623882,165
-247.6462944780803,1.7513660162616362,166
-262.2612991051837,1.7957245286498473,167
-261.2339256094552,1.798447974330482,168
-287.0660323258982,1.812026174485406,169
-292.0962460494328,1.8836189428301304,170
-284.9605985644537,1.9130031540699342,171
-271.5333180994574,1.9386478616322986,172
-269.9718302873389,1.9572269353441916,173
-249.21668821185602,1.9872670824251326,174
-239.38931076368402,1.9577082671749892,175
-193.50191522804238,1.9248351108190682,176
-170.91815180579815,1.8477024789286183,177
-162.96042197238995,1.8272622444323405,178
-178.93094352201035,1.8285138487893138,179
-156.26514221626863,1.788043039356346,180
-140.37971503086456,1.7543360551302467,181
-131.37547306137702,1.7317472039290085,182
-125.6438035534003,1.6914348992568955,183
-118.49635905281357,1.645488645827065,184
-120.35801646587252,1.6746874704958818,185
-122.99110595870727,1.7003656166292638,186
-151.6629857766925,1.7571471464047013,187
-150.60235925344168,1.7482751482544923,188
-168.33739121746783,1.8515359663914694,189
-177.64333687049404,1.9046228573181316,190
-193.74930331744616,2.0045367542280847,191
-214.1036661545451,2.0164807763821995,192
-202.7764993282752,1.9678685283799746,193
-188.11566987704106,2.0043551173111327,194
-251.07997569061067,2.2047993390771006,195
-250.86828104155296,2.1682234020570905,196
-275.79740422148745,2.2374170865312837,197
-264.00669261907683,2.257453286230752,198
-246.30208834570058,2.2258323296663862,199
-342.5931924087403,2.3968006735548713,200
-383.4269572146003,2.4303580792196016,201
-350.5167106939247,2.258947215624436,202
-345.55233933422704,2.2662478683282585,203
-306.0153847771899,2.1699039023989632,204
-321.9896312385087,2.1362220711526825,205
-346.28533696936057,2.1783970003555857,206
-298.9823124643097,2.0681160814434625,207
-260.72121727649545,1.9935835602481742,208
-244.83405771279683,2.025868032514449,209
-287.25514829912504,2.064438976219967,210
-304.0830710480778,2.0710883738277466,211
-343.07224491712185,2.1989799724962573,212
-333.7133823888398,2.1707456803231144,213
-298.97372147989057,2.126962357514706,214
-311.4207776726408,2.180944165300088,215
-280.42890528485015,2.1785174937109746,216
-244.919163548935,2.165619992114254,217
-233.26737741647275,2.17817651858609,218
-194.40137273622724,2.0738696579228546,219
-220.62959345567208,2.1484106193413806,220
-245.60292758318514,2.14751428018667,221
-253.24330878716177,2.1843414682577738,222
-269.7901679815991,2.2338843052921256,223
-316.08910374738167,2.2479033449980084,224
-324.99523153284736,2.2584420578343365,225
-312.28316669904365,2.2003704819548573,226
-295.1034907705781,2.1414479709147405,227
-328.2304228870885,2.161686608341251,228
