x,y,t
-1117.430252372303,2.87721122828813,1
-1430.257038813442,3.036476411433732,2
-1663.6963909278072,3.0322104209883136,3
-1828.0933616329482,2.9924407141812743,4
-1954.686934728009,3.0564658596168504,5
-1408.602885526206,3.01427028718176,6
-1026.160992713499,2.6631595272841615,7
-865.0364985952124,2.535910031522795,8
-637.4407768804914,2.3639748467806228,9
-527.2254754645752,2.325716181430771,10
-435.8226935436209,2.3576585587390544,11
-372.19276619360824,2.1965127894683834,12
-353.5537458616405,2.1706912202287896,13
-295.92971993424175,2.099066897353132,14
-301.58376421893246,1.9998976912148552,15
-331.9045453208649,2.0163689805468086,16
-325.7383175632364,2.0080505050460786,17
-331.64343201617083,1.9663855352715647,18
-325.5614666078621,2.0235391041983846,19
-342.8453952309287,2.0923339958235583,20
-373.5054528312969,2.1662853265291573,21
-323.076491768329,2.0919639096994462,22
-251.98059066529396,1.9784406405865593,23
-241.44281924663952,1.8668025223878755,24
-290.7279858650774,1.9774980882881084,25
-290.0240864232144,1.966446594939161,26
-312.3513305973795,2.0048987128878717,27
-302.7797553583499,1.963128471645582,28
-281.803045420423,1.9501835323278058,29
-264.5981303063555,1.9216691053662094,30
-244.4782753299866,1.8903219485006826,31
-248.43969062110375,1.7909004441545715,32
-256.2299922090215,1.80967199083365,33
-236.36272357685516,1.784554856817933,34
-239.01280084442837,1.8119547073632554,35
-238.61780771630956,1.803980353274316,36
-293.34235088800887,1.927875109922727,37
-305.80234635676607,1.9695976739328271,38
-259.7703333145393,1.9468529652711526,39
-249.58121672820675,1.9642978026507518,40
-281.7669954380674,2.0234220773782043,41
-270.4467853480043,2.0384892415837026,42
-311.04535223580206,2.1250777585503404,43
-312.89155416158786,2.1091178991898154,44
-293.22459889190617,2.0598395696579566,45
-292.18274196775945,1.981828563016928,46
-303.6752849396471,1.9820383223939124,47
-308.2938670370322,1.987243200841511,48
-309.5496303421674,1.9822892592226748,49
-252.33148388792628,1.895997111834684,50
-218.82465473799127,1.8584280303920706,51
-209.19684219054025,1.8014864337845413,52
-220.4241778645555,1.7582821869147731,53
-214.69285332129763,1.732335542083937,54
-195.36745208535723,1.6958464238053383,55
-195.31110850260706,1.693778283990266,56
-191.50215478239838,1.7138708608161244,57
-195.71550469241922,1.7322633845633029,58
-178.49110487008812,1.6900715238644315,59
-148.92985191774625,1.6242996117593103,60
-148.9621953733043,1.5994037394328808,61
-155.12963954068502,1.5467564745510554,62
-183.06277257303256,1.567983482838601,63
-316.9994432232762,1.6733027168145131,64
-447.9246233576587,1.7931067432066885,65
-560.3413495034081,1.8320433728329677,66
-624.8638419962607,1.858569013493648,67
-638.1527417490523,1.8771030468176442,68
-659.8542744631286,1.9055534026553267,69
-652.9343102787027,1.9117961475121326,70
-522.6572090738608,1.8224230996150688,71
-412.9925799374017,1.7502835855596717,72
-330.598674513211,1.7289315071460758,73
-328.4913312137799,1.7255437072496047,74
-419.0956251579673,1.8088190647492364,75
-1214.2962171193305,2.033833374952971,76
-1426.5057610677986,2.1274690291003546,77
-1567.5333149203727,2.208205353715334,78
-1702.9114443626586,2.2505973626311584,79
-1819.4624528728195,2.291323507365675,80
-1866.1068959435083,2.3036742447809306,81
-1995.1111238176645,2.3416589653541595,82
-1206.6460803035916,2.3855407379992086,83
-1103.0568436578228,2.3713625593350733,84
-1082.6549533895607,2.374461761811569,85
-1161.3120472390717,2.4183195102048947,86
-1229.7668395570663,2.4245653913124343,87
-1190.9200665618935,2.3643611222967333,88
-1072.6315544038632,2.2091208544755565,89
-1084.2759683908844,2.238739793213378,90
-1254.3864635993466,2.2438516925707046,91
-1396.4030670022642,2.2939903438601807,92
-1430.55780347404,2.279989799952092,93
-1468.9289312865255,2.2856119768321523,94
-1482.7039260864733,2.300979003590796,95
-1369.3295225876952,2.240085572105033,96
-1354.1255646520037,2.247156069730826,97
-1167.8998562551485,2.202658850859505,98
-1019.3183977037846,2.138377674131557,99
-781.6072583100645,2.0114163666988323,100
-718.386558108987,1.96461308743563,101
-741.2592882921344,1.9794041191914649,102
-734.1285179872725,2.0125287057646144,103
-707.9693328699972,2.000296699938346,104
-712.2152257399893,2.022674421912127,105
-763.2182976816351,2.0821229785540605,106
-821.7097211211709,2.1482147735510804,107
-742.5936674582003,2.0754731412921057,108
-649.7297150189216,1.9989436989496598,109
-600.6256450220253,1.9919702629141247,110
-601.1703311489165,2.03198306127058,111
-587.8620187687164,2.047030926111992,112
-533.4870396125252,1.9596585794625234,113
-485.46201013913344,1.915573805638615,114
-441.25997530453424,1.8806948366226386,115
-465.1458414049523,1.9749268170085201,116
-471.2164843721195,2.018181086722302,117
-503.7525878900392,2.0724463069114867,118
-487.99202131408475,2.0366461248799603,119
-422.72335208940797,1.945022398806997,120
-451.7609610612951,1.9842824733948903,121
-563.8479840948482,1.9505807560625406,122
-551.7283109644613,1.8747287028317376,123
-523.708473609949,1.8074937619862503,124
-505.080759158716,1.7835922976526086,125
-508.57269708181366,1.8018142781330424,126
-528.5853828228235,1.8611471216377051,127
-465.8929577405244,1.8191609184274182,128
-385.3672103276285,1.9028850878350698,129
-372.06432415652097,1.9609847133755316,130
-386.3997619012405,2.0085453986761213,131
-410.4339094969911,2.0987275830561063,132
-427.9931294398453,2.2067589151724687,133
-720.8266876676569,2.2593483565546446,134
-723.4857665038335,2.265186564042837,135
-701.0851198043325,2.2232490021681834,136
-752.746784721928,2.2972775744772718,137
-824.1070499998343,2.3895652363871585,138
-791.6844040598199,2.331336877310627,139
-810.58416507728,2.3294304204202607,140
-577.5827142348344,2.3237557149967136,141
-583.8221585924816,2.354017864801707,142
-533.4817107469064,2.281474923680825,143
-488.60162434725174,2.1930886807887324,144
-510.02517413654573,2.0348279872766697,145
-504.1316835201812,2.002517057454996,146
-449.2662175119692,1.9635716543446864,147
-396.6517814243802,1.878592680458384,148
-346.86602362906297,1.8293996081801338,149
-326.16301711991974,1.8395721136836536,150
-288.913207821675,1.7845475812298024,151
-192.96610982341622,1.7392105760080947,152
-169.78781731316525,1.8029631505915171,153
