x,y,t
-14587.387688886936,3.859671165123859,1
-5310.130775823878,2.8266485567795088,2
-4514.502670424977,2.343389666049407,3
-3486.840717429188,2.4078581875650493,4
-3353.2921584994033,2.3257393447194086,5
-2160.5447570073748,2.0571069936472353,6
-1514.4194056487574,1.9250117653308518,7
-1253.3959607148915,1.8637658024366386,8
-1044.6175310298893,1.8164906894061308,9
-901.8380608354064,1.8287338988093647,10
-948.0322301345823,1.8957127068612576,11
-821.1188145395621,1.969156426275338,12
-782.4916389790588,1.9915639538502878,13
-772.338229226148,2.011421572120903,14
-540.5046680795372,1.9708083157638732,15
-461.7708497496992,1.9627196515583032,16
-327.5726998975828,1.8691428407914863,17
-237.6879907311909,1.6938008285848907,18
-216.73152150927302,1.6999195218716807,19
-223.04891792985737,1.786818430025807,20
-221.18163233423343,1.8791793088076147,21
-238.2222452518271,1.921401289179469,22
-254.8293875990544,1.985501139881269,23
-284.67032889208383,2.142995647336687,24
-337.0715282947896,2.357466748402131,25
-325.29250106481237,2.4250862741709693,26
-335.1543559802785,2.5353911971881944,27
-333.5614919199601,2.6334717469211832,28
-461.61019276338146,2.7394563767702946,29
-562.5651112418681,3.054413099199216,30
-580.2395146745055,3.0716692202186757,31
-930.0175914035,3.3618306300025917,32
-1038.7581939486379,3.5042711415450674,33
-1115.0350448479687,3.6623010849151205,34
-1109.6852555888097,3.6064417447082042,35
-1210.8094135543486,3.483030434926175,36
-1068.9391433489536,3.3525174572308623,37
-1054.135426497893,3.367809674340229,38
-720.1962790726342,3.0955665537418957,39
-607.9583173394327,2.9327141346339163,40
-566.9291180238619,2.8584233963661227,41
-561.3053960454812,2.936273976500948,42
-241.5947086235065,3.0569243710872014,43
-221.3853995112368,3.043799241992756,44
-201.46397610679753,3.0400476293873515,45
-176.00096213403717,2.963621182704298,46
-174.5630070211393,3.021216434948044,47
-154.45122553809696,2.9710118212742596,48
-134.94396799259522,2.912200497436109,49
-147.40669778933142,3.041190619594483,50
-151.4737296170179,3.1371827593508814,51
-159.8770470302324,3.1723220282725566,52
-206.23457903949208,3.510444737699023,53
-1431.4750540591099,3.7597817671935223,54
-447.83252334041725,4.104412482683202,55
-561.3748452560735,4.193415208483576,56
-938.9715257113331,4.388717273130345,57
-1151.6441595021506,4.534885096498723,58
-1497.1722239135263,4.740664172790883,59
-1644.8127388391101,4.867630419498989,60
-770.3611453824437,4.604602520544927,61
-1823.446389139342,4.600177658520901,62
-1437.652633583363,4.7895004450109315,63
-1175.972927882718,4.789497002166694,64
-1114.5903677424158,4.761509126936402,65
-903.4735636834772,4.379062415854819,66
-739.0436833915627,3.99553371149861,67
-700.6722775705131,3.81843599629006,68
-634.0385642714845,3.5176588002721814,69
-574.2381009005481,3.4305413298838503,70
-487.78059411499004,3.270415561403782,71
-408.0801070470906,3.141856720849616,72
-379.56943307506396,3.1678643833218203,73
-390.9518501906783,3.3316494073717116,74
-333.4578629590578,3.27127681610145,75
-303.4725125238196,3.2803270795993402,76
-294.1504493397305,3.2359168670367264,77
-286.8998329323211,3.160462424424767,78
-299.9691196657691,3.1828637333761916,79
-282.6190726492401,3.1671504656200353,80
-260.0242810226874,3.1044521551533903,81
-251.77483121881187,3.13970334000229,82
-236.34445045272565,3.1383692132225094,83
-267.95723258994246,3.3378623040096955,84
-276.2085943850479,3.4541322870475066,85
-242.59840681128927,3.402363792323344,86
-249.33516787658175,3.3872561622914676,87
-231.0824574691893,3.3068051033977452,88
-234.19775718448219,3.2106360872969457,89
-269.99488920387563,3.1717325062797053,90
-246.75149892477674,3.1667343465020914,91
-232.85023048128136,3.089612315068933,92
-258.31208928823986,3.2718296845399397,93
-258.1370614922979,3.4063182762927937,94
-274.57402187652707,3.4141429650587733,95
-598.8425516135684,4.033139207642491,96
-728.9476944260225,4.682506182278532,97
-898.2347396194859,5.183633366600761,98
-940.7927758844861,5.239019757496289,99
-922.9935958096994,5.185783042667375,100
-924.4618530203702,5.20752038923291,101
-922.2246793973641,5.236235691600612,102
-585.5372359630047,4.67120528711631,103
-452.46742399711223,4.273501503704839,104
-266.06238762079727,3.486833437954496,105
-249.60820615971696,3.4176754613357487,106
-242.34397012805175,3.422713425397754,107
-234.2086851484725,3.3935810322942803,108
-229.23119226158147,3.3961320380494864,109
-190.77917377613394,3.1438321010730914,110
-177.7008654463819,3.0545633474627403,111
-208.27064760619578,3.4488115321028263,112
-233.74810129068885,3.798884769093864,113
-240.9277918839179,3.941846671528082,114
-249.92338491758,4.181476796142514,115
-262.6840310567885,4.233206187269868,116
-264.9867253599884,4.563065536349734,117
-253.15859450773198,4.5650576667128435,118
-247.8332165006817,4.446545309569726,119
-249.33682159061703,4.737830837948543,120
-268.68082752275046,4.7881375528235,121
-269.2921402393649,4.810752989004531,122
-292.7138538553342,5.092079311279257,123
-349.7373428120326,5.401285442828695,124
-346.3616856491667,5.580369330734508,125
-370.0501621726424,5.609535405912872,126
-373.31706677380754,5.518897744273918,127
-355.5468380386557,5.705100387012661,128
-359.67121396720836,5.404367479275115,129
-345.0542073106392,5.098190079243591,130
-298.6092157611083,4.8607543994081635,131
-293.9816543298454,4.982343635661329,132
-361.908839958954,5.550930869981053,133
-349.43531526204504,5.434212101558664,134
-333.60725005754256,5.164359651363404,135
-311.9881613135427,5.252723760170485,136
-293.4215520624123,5.085695503844293,137
-315.3448742088203,5.308929893653775,138
-304.6615869622548,5.212699040642179,139
-183.22068042672288,4.288918273434214,140
