x,y,t
-4182.245591893739,2.3815367096924773,1
-4480.877976141979,2.399123536768386,2
-2614.8824051861325,2.0885547521619126,3
-1703.2692158164687,1.9438355081499685,4
-1287.9514857362424,1.9045506273521824,5
-989.1703636348597,1.8673343681075483,6
-835.1412194399508,1.877315893850474,7
-714.0730434044036,1.8816705233629691,8
-509.84106062936985,1.8025591181283585,9
-442.7041608570201,1.7764355935447416,10
-327.62764186842554,1.7056687912117707,11
-262.0066862265917,1.6600378077025222,12
-237.02087813068428,1.6409563648738916,13
-184.2735168152305,1.5695820095920006,14
-173.75552189687824,1.5523836628021475,15
-186.92348798297098,1.5447700767023738,16
-170.7405905172662,1.5336118050303902,17
-217.38914466518824,1.5791145480653663,18
-249.05722251493407,1.6178205421860261,19
-256.80837096965524,1.6482064327262966,20
-280.38505978815823,1.6837718903416656,21
-270.583237311487,1.696179817757876,22
-282.39210618075236,1.7130925252089841,23
-301.5679523274233,1.6982627687029945,24
-267.83569028550227,1.6720018080541192,25
-318.1784264712367,1.7382072279334586,26
-347.67100983077165,1.7599402953760677,27
-363.66819454864964,1.7866744536238324,28
-411.36200849783035,1.8315709519070902,29
-419.1649075459558,1.8449742418829163,30
-379.5655835407436,1.8577602345139665,31
-304.3492262870918,1.8550018725787951,32
-221.71858297635322,1.7637610200692322,33
-172.87926661809732,1.7145000122075615,34
-179.05241531626828,1.7292485599333247,35
-134.27828975203698,1.6525589456977612,36
-80.83645072907483,1.6080014305436892,37
-70.7378105170973,1.5871532151530834,38
-84.17182401127964,1.5503299083482294,39
-76.30067900094186,1.5167340204623725,40
-89.55442203906853,1.5794683710336639,41
-52.497423766956715,1.486757367528791,42
-52.60355388508423,1.5089299079781793,43
-56.581816165823604,1.523202618970175,44
-59.49075697109389,1.537195394121622,45
-58.26580244056677,1.5747166969652544,46
-53.01796350158169,1.5757699731371182,47
-44.993191361943154,1.5337829005390085,48
-51.17749228769373,1.513879902569569,49
-54.411229080394996,1.4874857519078284,50
-61.36007281322901,1.4900459669395327,51
-67.0535935258538,1.5317081091699871,52
-71.85962158315803,1.5677319143234174,53
-74.04755249449876,1.616106778571096,54
-70.52133974489229,1.6733728493676625,55
-87.6297346546808,1.7835172562986024,56
-98.23225947051014,1.8162658487532088,57
-97.32686259614438,1.8375992080955017,58
-109.8660205987852,1.9129878111304315,59
-121.12898205753557,1.9403228011810942,60
-146.0858886200558,1.9885036904720075,61
-139.6538744153273,1.8867980166827216,62
-141.628959042033,1.9446230051473765,63
-129.95567505713072,1.9535249951163305,64
-142.94583384074227,2.0781997506945666,65
-140.0221065718014,2.079201150707845,66
-166.5921308668086,2.1253958142433036,67
-212.83443380154674,2.096981020265364,68
-294.94765104280043,2.244059441806003,69
-373.9958994081889,2.3328338546006946,70
-449.5348569679604,2.3897282663806965,71
-474.30827005263035,2.37087200072351,72
-458.7797407379651,2.3425299461224003,73
-411.7609489241171,2.2755746550884854,74
-356.52869075913986,2.2547665895341567,75
-246.26533286130163,2.108504228342209,76
-129.55588735123555,1.852789679204845,77
-81.46075635174353,1.75561073720707,78
-61.475445266796996,1.7386946933393073,79
-62.60323156276495,1.8101588250046492,80
-77.07023884962877,1.859245291399706,81
-91.38584410341595,1.9187333776608337,82
-107.70855919205708,2.0245312130658872,83
-120.3809463372028,2.1110342812979224,84
-118.33850738822188,2.166606602115371,85
-104.83682011067364,2.009216098755952,86
-111.36830835526108,1.9693454457867625,87
-101.1207761917962,1.9229877307876653,88
-101.28661417583548,1.9642769271437424,89
-98.29429521445574,1.9200016136446214,90
-84.3730790153786,1.8536914074556659,91
-63.40959674274046,1.6993457738309077,92
-54.53359192273505,1.6927950142175403,93
-60.193800884223045,1.7661462651225526,94
-56.436983527136185,1.7291944073226675,95
-46.24112483729288,1.6582898085018838,96
-40.15897559377104,1.629516743989683,97
-38.38480391945992,1.623154321084426,98
-45.10223204734355,1.671857816675447,99
-44.42085775590185,1.6700951099270693,100
-43.66997573628952,1.6355004810001534,101
-49.195251979754296,1.6910162936963191,102
-45.64516099876264,1.6830371214286608,103
-51.165645559806364,1.7497228683727146,104
-55.79870049370819,1.8254249749135485,105
-59.17140329713292,1.8088334170212743,106
-58.389642126554655,1.8280257391725485,107
-52.09202650408526,1.8238486925418598,108
-49.04279991877165,1.78572738155283,109
-59.1676422920258,1.8117014329596828,110
-54.661965001184974,1.7455869750856277,111
-65.48776795636347,1.799737388130393,112
-120.81956348407287,1.765986567038074,113
-181.82806764556977,2.137125766317314,114
-180.74802334342277,2.1712750656132163,115
-182.2870435902791,2.1886623716283164,116
-189.0895664155002,2.206174367785929,117
-200.1004674893174,2.2342395747906374,118
-199.40628646019545,2.2474093177625676,119
-168.4593390465994,2.0005102971186393,120
-99.6748472620992,2.003411866120601,121
-96.27046327008074,2.023182192011911,122
-101.85551404246779,2.118523140435694,123
-101.3920887342131,2.091944886553823,124
-93.5191465053652,2.0288123437898897,125
-81.88901263009015,1.9421928658165195,126
-83.16626469709857,1.9267368720582652,127
-84.52776116525449,1.9342622326800774,128
-89.50807891600215,1.9049256997013135,129
-79.05261467916455,1.873577008861441,130
-79.63732393141298,1.8658513018873188,131
-91.96727718058726,1.896024210930759,132
-105.31879967565614,1.9692654075172957,133
-113.89699998030073,2.0429411075012074,134
-108.87288269647833,2.0431563540443554,135
-103.79481381748823,2.032317959695396,136
-102.66705323025424,1.984463446127478,137
-102.90803313926777,1.9942186187628936,138
-84.41521824979016,1.8964880138994626,139
-62.01967480135347,1.7657796523302924,140
-44.1095444425043,1.5652865481862068,141
-34.59178474728977,1.4755351517610191,142
-32.04767937429262,1.5261684348255,143
-33.10248138830508,1.4918621681056192,144
-29.098975381998663,1.480322048982525,145
-36.71231644075125,1.5915365969073014,146
-56.44484129811893,1.6523280852513045,147
-61.19782525687798,1.7038960773215894,148
-64.92761072907625,1.7005972671216913,149
-68.40821234908164,1.672246644674836,150
-77.35832633428808,1.712275469739621,151
-74.73822884591463,1.7202355110612715,152
-80.06812439627292,1.7357502243789482,153
-50.76934188154321,1.609571194498664,154
-47.479234513526684,1.5663152677508512,155
-42.88820965393766,1.5368961609968452,156
-46.852209860584466,1.5641653906992197,157
-39.427671355943346,1.5522278289022802,158
-45.12832989066753,1.5676425317802714,159
-39.40288601218969,1.51622880820264,160
-39.81242135882905,1.516568885952865,161
-47.30910562168979,1.5408339908725486,162
-41.968305624170874,1.5143465097617839,163
-39.05966273934165,1.4918030529913664,164
-41.90728671619719,1.497045349066023,165
-42.35344665711399,1.528616553990201,166
-46.820184015922344,1.5128616251416735,167
-47.06943281234313,1.5605484368616405,168
-33.30990214236811,1.4954181262222244,169
-33.21837675104712,1.4824801917924977,170
-30.83508092556683,1.4611621235918224,171
-31.311441688393643,1.5333811050597497,172
-30.393822108671426,1.5364892775624037,173
-23.949914975774117,1.4999314372232446,174
-25.275581107494034,1.4867513758112867,175
-31.089390128966375,1.5729916819708945,176
-28.17082700627768,1.5864759308109369,177
-25.72771504430835,1.6557449830456072,178
-23.828308922732855,1.5585370137195536,179
-21.582697408281813,1.534445679154001,180
-21.90592483886252,1.4752401932923043,181
-21.353895415540265,1.4915161293936174,182
-24.230552897700388,1.524570280035171,183
-26.92097562528599,1.5259819533530594,184
-28.814368777332238,1.4632176290296512,185
-26.26954863844307,1.4594939100834938,186
-26.316446001225962,1.4519114525179826,187
-31.4167779814319,1.5752216710187403,188
-38.68799947053249,1.6878977746819754,189
-40.61363170228648,1.6526829788621658,190
-40.37529743915424,1.6643434909549273,191
-41.90814790908258,1.630509577145083,192
-45.79507657922766,1.6120800306652472,193
-41.35249495839025,1.559679843847504,194
-31.00964505555058,1.4630333866289393,195
-19.637183653901175,1.302714069459521,196
-24.366410504436622,1.4118141818415566,197
-26.86336954118868,1.3496853141330656,198
-26.845927451428285,1.4009613827565672,199
-25.1223447849893,1.369837320579765,200
-33.51883574018545,1.4381608982779526,201
-36.927979432395844,1.4389290501586052,202
-33.93598311561546,1.4127135027079976,203
-28.546345353899685,1.3480532178828812,204
-22.81863313790504,1.352377246782888,205
-21.754839357254355,1.3530401216750247,206
-21.205440317796782,1.3544431437114983,207
-14.134644153003965,1.273983464319415,208
-9.148116274709801,1.2321536117384797,209
-10.2612587471665,1.2702581768653045,210
-28.690678663093866,1.3890608033159233,211
-38.66971152559482,1.4745969941056547,212
-43.2320437462638,1.5029251339458727,213
-47.234831731952866,1.5004203161236156,214
-47.912150265928595,1.5233225391499745,215
-54.46340082471487,1.512252973261205,216
-56.53663170791781,1.51643500158754,217
-40.66338996921776,1.4492413880005077,218
-34.79032544637951,1.4500794312542895,219
-47.06421309676762,1.502196730989359,220
-45.50839003307908,1.4740693467599253,221
-66.82191745333307,1.5421716549808395,222
-87.88136973275594,1.5742643343977454,223
-106.44727652326067,1.6308045730605703,224
-112.66325521861938,1.654957405146002,225
-121.4606299550055,1.7001483944929021,226
-101.97701614957853,1.65049329512041,227
-150.1020367481452,1.7709980707804351,228
-139.7895257469908,1.7413013824653552,229
-128.60571780331125,1.7596453273212553,230
-138.4138798052946,1.8156971564627125,231
-123.34664325350424,1.7341966050756163,232
-117.01829685337685,1.6869730958883264,233
-158.57606686699745,1.8189619712033493,234
-149.65625742322487,1.7368490015456266,235
-142.03326489762264,1.731359469616668,236
-149.8781387161255,1.731543527262485,237
-144.91602574420537,1.7161955339240569,238
-181.32621818612822,1.8401761112945252,239
-186.95315898593088,1.8667814148206183,240
-167.81964143798115,1.7491896383133234,241
-147.63382545122354,1.7955538266341171,242
-141.65408766748334,1.8257255909073187,243
-130.26940805000575,1.8075283066750145,244
-115.17235598500613,1.763222134712798,245
-84.68469650434199,1.6184427531315313,246
-79.20987689628946,1.6223964812846607,247
-63.82698507735819,1.566432124161687,248
-62.400258621930355,1.5896303605441169,249
-62.78405311133034,1.6040334901862772,250
-54.89748307655756,1.5524051291320975,251
-44.04688972891691,1.4563768208515777,252
-41.448032370107235,1.5215217089676834,253
-35.56935857526697,1.5456425874213617,254
-27.75951063361047,1.5075988186634097,255
-20.00639669570713,1.4515927740852643,256
-18.022143415277817,1.4645225735937446,257
-16.475306763103827,1.462787605803499,258
-20.399173360964657,1.5102796905841054,259
-18.57065270512911,1.4627457705814146,260
-19.553675322525496,1.4020813305932867,261
-25.673353660549882,1.4775853012868383,262
-27.44994928061361,1.483795709646717,263
-31.517981516353185,1.5281748873203989,264
-37.88325712298383,1.5774122608890153,265
-43.78389212048045,1.5835828819775017,266
-49.12066916065045,1.562947531067451,267
-52.40574432815675,1.6151786528704866,268
-54.883097624121675,1.5648999318625292,269
-60.05470814782558,1.5768866710804572,270
-55.58055501226768,1.5838950744730018,271
-42.55345304574191,1.4709323085182187,272
-38.24802309693379,1.4925203488583443,273
-48.342421096322475,1.6064508359093337,274
-42.51381397065276,1.6129835446557375,275
-36.554924532075084,1.6783151848417168,276
-24.928757529562983,1.5804935497817967,277
-24.156805837903185,1.5824407255199622,278
-30.304214108934367,1.6268490499366322,279
-27.51493205241106,1.5700101981285304,280
-23.40577411230944,1.457008610411242,281
-29.76839682976497,1.5587677804463305,282
-24.913501122865327,1.458978289079958,283
-26.81554101282881,1.5127255852362107,284
-26.61653788972028,1.4931511207329582,285
-21.2511470005403,1.439785222163609,286
-20.93315676046079,1.4054535252984306,287
-18.254403555913925,1.3787816148788943,288
-12.478059442411128,1.3157376168846313,289
-14.168185590903855,1.3355945535751177,290
-11.738454784305674,1.346435657818771,291
-14.40266476802667,1.3158991523001289,292
-18.03275897209495,1.3942400944512863,293
-18.44904042257182,1.4667638218686159,294
-19.943885797320192,1.4484018992907655,295
-23.219920327823832,1.4933757156246559,296
-24.55495465011879,1.5184899490493964,297
-24.630525310925208,1.564047484949935,298
-23.069376141107902,1.6023538635554724,299
-23.431510007319652,1.5809290504150744,300
-24.15501458823821,1.4481512852885192,301
-27.97824488797921,1.4191517552346804,302
-22.980684604518384,1.3580997269036128,303
-24.83983678778654,1.3760548260740038,304
-25.741898682821574,1.3892398861141666,305
-32.044251534058795,1.4377923248967701,306
-30.550809290000103,1.4460559168327487,307
-31.864111469699193,1.5207146783996695,308
-31.1836884844311,1.512484415475388,309
-35.93776784511271,1.6218711289308583,310
-40.38737929417106,1.6234361946143807,311
-36.839689639095944,1.5332456018123075,312
-32.788294630360554,1.572455957439189,313
