x,y,t
-6737.151115381381,2.9280977940355304,1
-7067.180229486682,2.9200688183448644,2
-6446.7487006100055,2.7883616559351783,3
-6112.737580451619,2.728594955806595,4
-3864.779748947217,2.451615101032528,5
-2504.172105920274,2.2647255916926716,6
-1890.5900385248483,2.1937961845315224,7
-1634.2347823466553,2.191916479503336,8
-1462.433289773142,2.2067812710625545,9
-1086.5741463718734,2.103496319741294,10
-1010.7436615552803,1.9663401599506507,11
-733.824099937169,1.999399379135128,12
-869.5869543118923,2.083776022107758,13
-973.2593848888708,2.0589244996487612,14
-788.4383547282234,2.003788730726103,15
-715.7324070218483,2.026757786733918,16
-743.7988322506767,2.073329753504444,17
-866.489902794821,1.9818910324261354,18
-562.5655754835512,2.003641886334298,19
-340.7452095228724,1.8132468374195099,20
-154.27849895695763,1.8960926078292377,21
-131.91643250310923,1.9050447899666647,22
-146.66936033889536,1.8032851612810228,23
-140.86382623027163,1.7683286029354937,24
-148.07249014999883,1.7891588524408586,25
-148.86023297032787,1.7722765369361742,26
-146.9778255414446,1.7795853123043526,27
-147.75680635947592,1.7611142510039275,28
-140.37125649591525,1.8192795966810458,29
-155.43035243536178,1.9047128521619605,30
-152.70621604635653,1.9342452100870011,31
-153.62272731732614,1.971652113262512,32
-141.21638149006534,1.9854038181540212,33
-128.98948617424614,1.9964508313359983,34
-122.2549555442915,1.9684812152988143,35
-108.98163699072538,1.9210508584698143,36
-88.23758065201537,1.88904351102458,37
-84.36794773511629,1.8713550516306177,38
-90.09211650048101,1.9380612320183088,39
-95.66295494436883,1.9599144312060666,40
-94.43734558941686,1.952056087470795,41
-91.0720043394276,1.9274203433645989,42
-101.77605356436965,1.9521226333586754,43
-95.84054958330685,1.7988516908256453,44
-86.73047096153711,1.7936290847091851,45
-88.06512022897218,1.6926051975122325,46
-83.27611047511456,1.6499961754841235,47
-77.21257394532111,1.6027644198523974,48
-87.25158178007668,1.6788013191074065,49
-78.05781777726166,1.6446563200666355,50
