x,y,t
-8305.069728105365,7.661301029288294,1
-8621.71049450418,7.746771462337691,2
-6969.515025997341,6.814775379659566,3
-5433.62398136415,6.251798235697047,4
-3432.589094747708,5.716107015993891,5
-2595.6741863053326,5.472333785703314,6
-2332.101766232418,5.600209765954752,7
-1880.5414601976233,5.346935720506199,8
-1540.4518664413881,5.342903901110753,9
-1282.6467088032084,5.020147278345784,10
-894.1447025018424,4.483151624035319,11
-628.4379636886484,4.665938382617895,12
-571.3115414430877,4.7991800941861396,13
-470.0646661006467,4.825747491811527,14
-388.37618821143127,4.864010933067374,15
-364.43276077637114,4.8802037883893465,16
-345.51589243364396,5.035044427803151,17
-345.6872648405007,5.230742882528628,18
-276.0444398485738,5.129810009691835,19
-227.89706117423978,4.81388707599758,20
-179.15554740286387,4.794243970318497,21
-150.6550280950998,4.908953343237145,22
-169.3699893084359,5.157169559370819,23
-166.7153838520543,5.2631357151654745,24
-186.3160646444568,5.601714282497348,25
-208.08736231949624,6.141743719980327,26
-208.7112348333889,6.4886774469497634,27
-229.6006974955173,6.324638176805563,28
-304.14572209413814,7.710413033258508,29
-358.7515462934365,9.626018525056276,30
-404.43865371498254,11.370034403112529,31
-397.34650996421965,11.931485483188485,32
-547.142030586732,12.071529207077347,33
-599.3920789963008,11.984838301773404,34
-459.25589665014166,11.026249469596074,35
-408.23016899476096,9.739772941673447,36
-381.6896495751577,8.879647422215243,37
-291.8326081621541,7.45782372297007,38
-228.78346927701295,6.370673000943834,39
-117.7460808773526,4.8911741208497626,40
-85.81296722180417,4.632099081488563,41
-131.3181728580866,6.83006160723669,42
-127.34190111574154,7.200634689503491,43
-92.0852640760311,6.178711824467011,44
-105.2094800455562,6.061809454591719,45
-121.61682118201769,6.331989261970566,46
-109.65936108765956,6.026445142230002,47
-130.94851960690298,6.194214922475263,48
-87.9379108037102,4.360358899785182,49
-74.99238847791634,3.909829612219154,50
-43.82915425936599,2.8843751245492397,51
-24.610993541714414,2.5603483595719547,52
-26.903630965342835,2.691779864003939,53
-34.517228405824376,2.8282005292276855,54
-39.02327943879589,3.4909029784884376,55
-56.713561313497316,4.175239433728457,56
-86.60633190624763,5.7282220311763705,57
-200.6129901783227,9.938248035640227,58
-232.61876066494978,10.809865057992482,59
-225.67998907268722,10.311536780857667,60
-272.8886690828744,10.87101191333781,61
-261.57471696960505,10.760729059907634,62
-317.5888985317551,12.478361633910081,63
-285.39393333913915,11.555690000081386,64
-217.1288202365093,9.384627997993151,65
-190.16382181064128,8.78876338330177,66
-172.15883196396305,8.582350649988138,67
-151.66128313901126,7.462786007623862,68
-277.0707673371388,10.157411192057754,69
-304.94870080202617,9.60081917068432,70
-352.65810093681586,10.802846620513865,71
-389.03058603112623,10.997824100294526,72
-449.59252969757875,11.609506369013092,73
-449.00416751084384,11.600950883267215,74
-489.329477453907,11.77914686151719,75
-347.6895881683469,9.950197857896999,76
-269.5008977081781,9.043489994771672,77
-148.18514681784993,7.097382974125589,78
-74.7297975698316,5.6932119019521235,79
-68.26853008228089,4.728265712528007,80
-82.22079806798729,4.234828488685011,81
-63.5001799885456,3.9451339879649834,82
-59.39388380884979,3.4250089408552156,83
-124.65717737208746,5.396303884417504,84
-124.74001061844652,5.288538956891678,85
-120.34333841341203,5.291514245134673,86
-125.85541478968328,5.725828194794585,87
-109.40242191840844,5.674232844900257,88
-106.14142292085715,5.533542473856092,89
-109.43052752959487,5.761491052287807,90
-66.07637091917282,4.0708474873950085,91
-69.75217272015328,3.937693305796229,92
-65.85192964589994,3.8218311346834493,93
-58.99132861808456,3.4378847254432063,94
-80.08997610202006,4.352077001477894,95
-91.7810406194042,4.576078234575155,96
-98.59523990103101,4.935503046592268,97
-113.36018916078693,6.546119548001955,98
-132.30289744665285,7.577852938292779,99
-151.54852350706318,9.070133888939932,100
