x,y,t
-1295.4388152036406,2.246777991133015,1
-1535.8363266695085,3.053929267359155,2
-1603.899180646634,3.0992222038466495,3
-1720.6758407460982,3.193551737142063,4
-1649.7344845440907,3.164985224349708,5
-969.2040604677716,3.3186874232617565,6
-678.1223766405524,3.1819473080317864,7
-513.1860648511542,3.045245862315045,8
-443.7825177801071,3.1125838812112483,9
-388.7700227334806,3.0986299855039325,10
-357.252213137953,2.9940838764697406,11
-312.32742141605837,2.855916573155177,12
-259.2762462656529,2.7047477541135803,13
-256.1752946643196,2.7242887612213864,14
-361.5929945397872,2.7940996143052437,15
-445.8330055861499,2.9134215886989825,16
-477.23722467665254,2.9870295182914415,17
-563.1005308710687,3.228604647105553,18
-662.4337447803775,3.456180324102311,19
-707.6236150002221,3.547784715147703,20
-825.3051025461593,3.7253277718772404,21
-654.9489416027426,3.583336859321276,22
-638.726019325089,3.6545371571605387,23
-598.5083105510867,3.560673450805346,24
-514.4378168770411,3.403082264016433,25
-432.8716692936848,3.2384641958403066,26
-397.6647495073842,3.1293105690701424,27
-318.3903965925273,2.896490302828893,28
-316.24926590478645,2.852804934481232,29
-312.70658128882513,2.7898261528483808,30
-858.0218474142613,2.2345572749750104,31
-805.0386782772824,2.2316562975931657,32
-706.1381449926879,2.1506215506808504,33
-706.3107052587164,2.160095081624224,34
-692.6545325339956,2.139900502905256,35
-724.2196236636522,2.1673016669609995,36
-715.7536753514231,2.151274482913442,37
-491.2605258248907,2.3777975438876218,38
-453.09836845783934,2.494220963983857,39
-462.3031829428114,2.5794888651638748,40
-428.1950986673168,2.5111407832441057,41
-405.4730715750008,2.4604328170537633,42
-386.23531153829185,2.467278525502393,43
-357.7404738786766,2.5252681944768156,44
-392.6403560864714,2.6676077775843723,45
-366.87438581125855,2.589954684345069,46
-318.9630987827766,2.525345085954167,47
-325.4648293510894,2.595403546299828,48
-334.31232029787816,2.588263452301017,49
-343.5659365017488,2.6004211461065845,50
-335.27493601123086,2.5988616241272466,51
-291.8646187426831,2.5281268280759757,52
-259.83572651302484,2.528594617321267,53
-327.2466282473072,2.644801430794565,54
-407.7315397623809,2.725981400075495,55
-461.30874727666117,2.9077208136176873,56
-464.70196008725816,2.893931262821862,57
-505.6949821447853,2.9902239413290426,58
-900.2389196640856,3.406953143225958,59
-997.350676087241,3.4096081142544774,60
-943.178355052783,3.4152943302651324,61
-889.5967358195414,3.3842274275809534,62
-897.4722734860711,3.346855421593363,63
-908.2526615621175,3.3166030413410623,64
-914.5136823268178,3.2509331471026806,65
-698.0308044218839,3.0315482450293385,66
-794.4182962821211,3.274150678040938,67
-902.8769738275915,3.478338789318291,68
-957.2430478011796,3.5744486491081506,69
-935.3079274954775,3.480720164320995,70
-964.6787477255413,3.530005647111432,71
-1021.7409416734295,3.678965356276751,72
-917.7323776073646,3.52612018715143,73
-723.219898265651,3.2117629340563703,74
-755.6758805670626,3.022630504535874,75
-713.8856867215464,2.8669575618736873,76
-745.0901348652817,2.861668210347985,77
-736.194920619511,2.842768952786354,78
-689.6134116879813,2.747605071375691,79
-715.6695966924287,2.7865468568934166,80
-738.0696135400989,2.8284776254990884,81
-622.2779728518673,2.782827502939231,82
-577.6676179008997,2.806014165205057,83
-497.6199226478529,2.7343649005250437,84
-454.8574019419701,2.652425570602203,85
-434.17195439235235,2.6591840669127396,86
-390.47273520577033,2.5911934838292727,87
-343.1482072619867,2.4935882528909405,88
-303.7638260627647,2.4117857208880853,89
-809.6504722881183,1.8769192082255624,90
-710.4137404473769,1.7903996798728097,91
-693.7152078872599,1.7648567297108535,92
-741.1913550342045,1.819187899601138,93
-759.1658047178156,1.8354378809643461,94
-747.1143764943168,1.8177797831575526,95
-731.3970954625986,1.7928626289447884,96
-253.03863876207816,2.2039811939634117,97
-277.1942471844796,2.275956267306192,98
-284.0174044947596,2.310002232907871,99
-354.8983788620718,2.1557618370458242,100
-346.25204002262376,2.115784355448317,101
-352.0907180277165,2.139658234031985,102
-326.3179197799473,2.1214326273650927,103
-322.97077235018435,2.0831679793198,104
-307.9706519856447,2.0495111108984196,105
-307.61057218713245,2.030420176784115,106
-219.57070759453373,2.0133662354908775,107
-214.36517896077828,1.955113893990423,108
-209.01872311470768,1.8503655872406166,109
-220.95038707603177,1.9121175882397168,110
-233.28016973828372,1.936016181616208,111
-239.96811366645832,1.9771646546060206,112
-254.7057850204695,2.047091721127655,113
-245.84994204029329,2.0164785190054393,114
-223.3528838045176,2.0199014374608204,115
-189.0580335267039,1.9753642751266844,116
-159.70782853688402,1.9015774227015836,117
