filename, start, end, duration, max_gap,networkSize
$BASED_0x68a118ef45063051eac49c7e647ce5ace48a68a5.csv,2020-08-18,2023-10-19,1157,51,13.720248222351074
$F_0xed314bf44013612e8c00abd3cb6eade61cc8c72e.csv,2019-05-24,2021-06-07,745,135,13.074262619018555
0xBTC_0xb6ed7644c69416d67b522e20bc294a9a9b405b31.csv,2018-02-07,2023-11-04,2096,3,48.404114723205566
0xUniverse_0x06a6a7af298129e3a2ab396c9c06f91d3c54aba8.csv,2018-06-07,2023-10-14,1955,24,214.28080654144287
1ST_0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7.csv,2016-12-09,2023-09-07,2463,42,17.759292602539062
2KEY_0xe48972fcd82a274411c01834e2f031d4377fa2c0.csv,2019-12-26,2023-10-24,1398,23,10.323296546936035
3DB_0x11016adcb85b65a0da8d8ddc3ade69dbad6bbca4.csv,2018-04-18,2020-06-09,783,82,24.080872535705566
3X_0x25d0ca87c1cc4947f6ccbc01ea50ea7a969bf065.csv,2018-06-29,2019-02-01,217,112,11.814743995666504
5GH_0x62b9f8741bf53a6986a5411c0557c30f6f11f3af.csv,2019-06-25,2023-07-31,1497,334,153.4554204940796
AAA_0x6aba1623ea906d1164cbb007e764ebde2514a2ba.csv,2018-01-21,2023-09-12,2060,215,15.054574966430664
AAC_0xe75ad3aab14e4b0df8c5da4286608dabb21bd864.csv,2017-12-29,2023-10-23,2124,92,15.202899932861328
ABT_0x1a77cc30e8d7cb528520cda6b29279e7d859896a.csv,2018-09-07,2021-11-08,1158,139,39.0866003036499
ABT_0xb98d4c97425d9908e66e53a6fdf673acca0be986.csv,2018-02-23,2023-11-04,2080,3,29.85086441040039
ABX_0x49ceb57714000f18f3749cf2d130e135f9c473a4.csv,2018-09-20,2023-10-08,1844,38,10.252347946166992
ABYSS_0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6.csv,2018-04-18,2023-11-04,2026,22,16.941779136657715
ADC_0x1e41a55030e0d0794abfb6dced22e6c7d18d8247.csv,2018-09-06,2022-09-21,1476,334,23.883563995361328
ADC_0x7d2624470429a4fa48f09206238749fbbb45eaa8.csv,2018-03-28,2020-07-19,844,109,13.890519142150879
AERGO_0xae31b85bfe62747d0836b82608b4830361a3d37a.csv,2018-11-22,2020-09-28,676,19,13.930655479431152
AE_0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d.csv,2017-09-02,2019-09-02,730,2,50.637569427490234
AGI_0x8eb24319393716668d768dcec29356ae9cffe285.csv,2017-12-21,2021-05-28,1254,27,35.891709327697754
